code,name,行业,总市值_亿元,流通市值_亿元,样本标识,更新时间
300373,扬杰科技,半导体,38208216382.0,38123837515.0,扩展500只,2025-09-26 11:54:53
601799,星宇股份,汽车零部件,38058212199.0,38058212199.0,扩展500只,2025-09-26 11:54:53
600208,衢州发展,房地产开发,37354250112.0,37350016119.0,扩展500只,2025-09-26 11:54:53
601598,中国外运,物流行业,51268995019.0,37054213969.0,扩展500只,2025-09-26 11:54:53
601155,新城控股,房地产开发,36518534039.0,36518534039.0,扩展500只,2025-09-26 11:54:53
601233,桐昆股份,化纤行业,36480509156.0,36345774071.0,扩展500只,2025-09-26 11:54:53
002555,三七互娱,游戏,49133798895.0,35513063578.0,扩展500只,2025-09-26 11:54:53
601615,明阳智能,风电设备,35276343844.0,35276343844.0,扩展500只,2025-09-26 11:54:53
688568,中科星图,互联网服务,34610019801.0,34610019801.0,扩展500只,2025-09-26 11:54:53
002152,广电运通,计算机设备,34568689940.0,34551301285.0,扩展500只,2025-09-26 11:54:53
601179,中国西电,电网设备,33984599994.0,33984599994.0,扩展500只,2025-09-26 11:54:53
002155,湖南黄金,贵金属,33518870728.0,33515845013.0,扩展500只,2025-09-26 11:54:53
000983,山西焦煤,煤炭行业,40761585604.0,33316733138.0,扩展500只,2025-09-26 11:54:53
688313,仕佳光子,通信设备,33272344827.0,33272344827.0,扩展500只,2025-09-26 11:54:53
002465,海格通信,通信设备,32636116416.0,32584215483.0,扩展500只,2025-09-26 11:54:53
600862,中航高科,航天航空,32388391738.0,32388391738.0,扩展500只,2025-09-26 11:54:53
000878,云南铜业,有色金属,32318524640.0,32317957945.0,扩展500只,2025-09-26 11:54:53
601865,福莱特,光伏设备,39782784351.0,32279407251.0,扩展500只,2025-09-26 11:54:53
688180,君实生物-U,生物制品,42905369709.0,32027612406.0,扩展500只,2025-09-26 11:54:53
601519,大智慧,软件开发,31906126400.0,31906126400.0,扩展500只,2025-09-26 11:54:53
603596,伯特利,汽车零部件,31647734588.0,31647734588.0,扩展500只,2025-09-26 11:54:53
600486,扬农化工,农药兽药,29354933190.0,29252818436.0,扩展500只,2025-09-26 11:54:53
600871,石化油服,采掘行业,39430655333.0,28177785690.0,扩展500只,2025-09-26 11:54:53
000733,振华科技,电子元件,27891347462.0,27887587811.0,扩展500只,2025-09-26 11:54:53
600348,华阳股份,煤炭行业,27417000000.0,27417000000.0,扩展500只,2025-09-26 11:54:53
688363,华熙生物,美容护理,26607906088.0,26607906088.0,扩展500只,2025-09-26 11:54:53
000629,钒钛股份,钢铁行业,26118865826.0,26105660734.0,扩展500只,2025-09-26 11:54:53
600884,杉杉股份,电子元件,32549004128.0,25427212039.0,扩展500只,2025-09-26 11:54:53
002773,康弘药业,化学制药,33923037526.0,25289228948.0,扩展500只,2025-09-26 11:54:53
000519,中兵红箭,专用设备,25261019933.0,25261019933.0,扩展500只,2025-09-26 11:54:53
688676,金盘科技,电网设备,24754790158.0,24754790158.0,扩展500只,2025-09-26 11:54:53
603816,顾家家居,装修建材,24848908450.0,24568028488.0,扩展500只,2025-09-26 11:54:53
600038,中直股份,航天航空,29270187704.0,23880987390.0,扩展500只,2025-09-26 11:54:53
002409,雅克科技,电子化学品,34642775682.0,23185270754.0,扩展500只,2025-09-26 11:54:53
600933,爱柯迪,汽车零部件,22795715606.0,22616334326.0,扩展500只,2025-09-26 11:54:53
001696,宗申动力,交运设备,29026432422.0,22596945004.0,扩展500只,2025-09-26 11:54:53
600380,健康元,化学制药,22520571182.0,22520571182.0,扩展500只,2025-09-26 11:54:53
603688,石英股份,非金属材料,22317145507.0,22317145507.0,扩展500只,2025-09-26 11:54:53
002318,久立特材,钢铁行业,22807164605.0,22288713372.0,扩展500只,2025-09-26 11:54:53
600602,云赛智联,软件开发,28283487049.0,22216585833.0,扩展500只,2025-09-26 11:54:53
002518,科士达,电源设备,22631089404.0,21967007892.0,扩展500只,2025-09-26 11:54:53
002249,大洋电机,电机,28796155168.0,21573791824.0,扩展500只,2025-09-26 11:54:53
600754,锦江酒店,旅游酒店,24860183945.0,21127859412.0,扩展500只,2025-09-26 11:54:53
600131,国网信通,互联网服务,21103152530.0,21035971571.0,扩展500只,2025-09-26 11:54:53
600410,华胜天成,互联网服务,20975943286.0,20975943286.0,扩展500只,2025-09-26 11:54:53
000723,美锦能源,煤炭行业,20916510734.0,20882161727.0,扩展500只,2025-09-26 11:54:53
000898,鞍钢股份,钢铁行业,23891514208.0,20291232741.0,扩展500只,2025-09-26 11:54:53
