code,name,float_market_cap,total_market_cap,pe_ttm,pb,turnover_rate,amount,volume_ratio,industry,selected,selection_timestamp
688111,金山办公,144669420376.0,144669420376.0,96.81,12.43,1.72,2529035328.0,1.49,软件开发,1,2025-09-18T14:20:04
600016,民生银行,142912356548.0,176443146563.0,4.13,0.31,1.23,1779585330.0,0.98,银行,1,2025-09-18T14:20:04
601689,拓普集团,141546707991.0,141546707991.0,54.65,6.27,6.08,8755685333.0,1.23,汽车零部件,1,2025-09-18T14:20:04
601888,中国中免,140832060989.0,149226802844.0,28.7,2.7,3.2,4542370458.0,2.3,旅游酒店,1,2025-09-18T14:20:04
300394,天孚通信,140080148292.0,140362439120.0,78.04,29.95,4.66,6542345145.54,1.09,通信设备,1,2025-09-18T14:20:04
000617,中油资本,139947815405.0,139947815405.0,26.95,1.36,1.83,2571237935.46,0.94,多元金融,1,2025-09-18T14:20:04
688008,澜起科技,137017356635.0,137017356635.0,59.11,11.3,4.58,6392614646.0,1.1,半导体,1,2025-09-18T14:20:04
600183,生益科技,134882271974.0,136840380847.0,47.96,9.63,2.46,3262055531.0,1.32,电子元件,1,2025-09-18T14:20:04
300014,亿纬锂能,132366617677.0,145471255652.0,45.31,3.78,4.21,5638390505.24,0.87,电池,1,2025-09-18T14:20:04
002916,深南电路,132086397928.0,132428056703.0,48.69,8.7,1.87,2413334353.1,1.37,电子元件,1,2025-09-18T14:20:04
600547,山东黄金,130553693694.0,166510654443.0,29.65,6.24,1.07,1422602430.0,0.94,贵金属,1,2025-09-18T14:20:04
601229,上海银行,129159557680.0,129159557680.0,4.88,0.53,0.49,641147751.0,1.27,银行,1,2025-09-18T14:20:04
002736,国信证券,127845310714.0,136215182698.0,12.69,1.45,0.57,731387609.04,1.31,证券,1,2025-09-18T14:20:04
002938,鹏鼎控股,127034471138.0,127655069451.0,51.77,4.09,1.72,2194445939.61,1.31,电子元件,1,2025-09-18T14:20:04
600999,XD招商证,126916290151.0,148710608383.0,14.34,1.29,1.46,1873077824.0,2.05,证券,1,2025-09-18T14:20:04
601100,恒立液压,126385786706.0,126385786706.0,44.22,7.72,1.55,2024416934.0,1.81,工程机械,1,2025-09-18T14:20:04
601336,新华保险,124584146172.0,186361713884.0,6.3,2.23,1.02,1287910957.0,1.17,保险,1,2025-09-18T14:20:04
688271,联影医疗,123631939780.0,123631939780.0,61.94,5.96,1.38,1708691468.0,1.89,医疗器械,1,2025-09-18T14:20:04
601881,中国银河,122775928710.0,185338118239.0,14.28,1.62,0.77,954433486.0,1.32,证券,1,2025-09-18T14:20:04
600905,三峡能源,122069266106.0,122069266106.0,16.0,1.38,0.46,558228175.0,1.37,电力行业,1,2025-09-18T14:20:04
601006,大秦铁路,121890425182.0,121890425182.0,14.81,0.74,0.61,749164197.0,2.43,物流行业,1,2025-09-18T14:20:04
600989,宝丰能源,121587108800.0,121587108800.0,10.63,2.72,0.45,547689399.0,1.18,化学原料,1,2025-09-18T14:20:04
600436,片仔癀,120699641033.0,120699641033.0,41.84,8.25,0.46,557184533.0,1.3,中药,1,2025-09-18T14:20:04
000776,广发证券,120678767917.0,155463482245.0,12.01,1.25,1.28,1563197067.92,1.66,证券,1,2025-09-18T14:20:04
601169,北京银行,119246431294.0,119246431294.0,3.96,0.43,1.12,1352211789.0,0.98,银行,1,2025-09-18T14:20:04
000166,申万宏源,117860703263.0,130958910049.0,15.28,1.21,0.51,603552491.82,1.35,证券,1,2025-09-18T14:20:04
002027,分众传媒,116404129792.0,116404129792.0,21.84,7.12,0.56,661031742.99,0.81,文化传媒,1,2025-09-18T14:20:04
300498,温氏股份,113708820030.0,126890383714.0,18.26,3.07,0.8,923720398.42,0.63,农牧饲渔,1,2025-09-18T14:20:04
601390,中国中铁,113635461573.0,137312599500.0,5.81,0.44,0.51,581276277.0,1.46,工程建设,1,2025-09-18T14:20:04
002384,东山精密,112624776777.0,148799795900.0,98.15,7.13,6.11,6785617560.61,1.08,电子元件,1,2025-09-18T14:20:04
600926,杭州银行,110184838730.0,110184838730.0,4.72,0.84,0.59,657897353.0,1.27,银行,1,2025-09-18T14:20:04
601995,中金公司,106592357362.0,176001785407.0,20.32,1.84,0.87,938977533.0,1.28,证券,1,2025-09-18T14:20:04
688036,传音控股,106246463073.0,106246463073.0,43.8,5.36,1.59,1673827528.0,1.3,消费电子,1,2025-09-18T14:20:04
600415,小商品城,104941950468.0,104956983024.0,31.04,5.15,1.26,1343980201.0,1.55,商业百货,1,2025-09-18T14:20:04
600015,华夏银行,104940867564.0,108539812152.0,4.73,0.36,0.59,623592980.0,1.14,银行,1,2025-09-18T14:20:04
000792,盐湖股份,103925879891.0,103926484705.0,20.66,2.66,1.06,1114212493.54,1.2,化肥行业,1,2025-09-18T14:20:04
000538,云南白药,103513448316.0,104183093389.0,14.34,2.7,0.53,555834938.72,1.18,中药,1,2025-09-18T14:20:04
601727,上海电气,103069775826.0,126962793766.0,77.35,2.35,2.08,2166994858.0,1.93,电源设备,1,2025-09-18T14:20:04
002241,歌尔股份,101957694153.0,115378276155.0,40.72,3.4,4.88,4997879350.27,1.04,消费电子,1,2025-09-18T14:20:04
000625,长安汽车,101934730667.0,122339821980.0,26.7,1.61,1.23,1259090939.24,1.31,汽车整车,1,2025-09-18T14:20:04
002600,领益智造,101425415129.0,103020275194.0,55.4,4.79,5.07,5206747092.52,0.99,消费电子,1,2025-09-18T14:20:04
601600,中国铝业,100848667730.0,131412141717.0,9.29,1.83,1.72,1759868391.0,0.94,有色金属,1,2025-09-18T14:20:04
300015,爱尔眼科,100247323947.0,117873013909.0,28.74,5.44,1.28,1299424684.53,1.26,医疗服务,1,2025-09-18T14:20:04
600160,巨化股份,99404650702.0,99404650702.0,24.24,5.17,1.24,1238398887.0,0.84,化学制品,1,2025-09-18T14:20:04
000977,浪潮信息,96552391194.0,96660392111.0,60.52,4.73,6.81,6645824358.33,1.3,计算机设备,1,2025-09-18T14:20:04
600941,中国移动,95034373359.0,2276046182123.0,13.51,1.63,1.69,1615960769.0,1.8,通信服务,1,2025-09-18T14:20:04
603893,瑞芯微,94965449979.0,94992092019.0,89.42,24.0,6.2,5852892183.0,2.11,半导体,1,2025-09-18T14:20:04
600048,保利发展,93249754226.0,93249754226.0,17.2,0.49,1.81,1703314090.0,1.19,房地产开发,1,2025-09-18T14:20:04
603799,华友钴业,92974292080.0,93746114768.0,17.29,2.13,3.73,3482062139.0,0.86,能源金属,1,2025-09-18T14:20:04
600585,海螺水泥,92473123626.0,122519875626.0,14.03,0.65,0.73,676476411.0,1.06,水泥建材,1,2025-09-18T14:20:04
000425,徐工机械,91962575140.0,116354427572.0,13.35,1.93,0.6,559647370.38,0.87,工程机械,1,2025-09-18T14:20:04
