date,code,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2020-01-02,002006,4.69,4.74,4.76,4.64,78706,36982517.0,2.58,1.72,0.08,1.73
2020-01-03,002006,4.76,4.67,4.76,4.64,65002,30423732.0,2.53,-1.48,-0.07,1.43
2020-01-06,002006,4.64,4.68,4.7,4.59,60907,28321834.0,2.36,0.21,0.01,1.34
2020-01-07,002006,4.67,4.87,5.05,4.67,149914,72436966.0,8.12,4.06,0.19,3.29
2020-01-08,002006,4.8,4.94,5.24,4.76,194826,96919430.0,9.86,1.44,0.07,4.28
2020-01-09,002006,4.91,5.14,5.23,4.89,212241,107527307.0,6.88,4.05,0.2,4.66
2020-01-10,002006,5.07,5.08,5.13,5.01,104888,53035929.0,2.33,-1.17,-0.06,2.3
2020-01-13,002006,5.04,5.02,5.06,4.89,68435,33971762.0,3.35,-1.18,-0.06,1.5
2020-01-14,002006,4.96,4.92,5.01,4.91,58888,29120915.0,1.99,-1.99,-0.1,1.29
2020-01-15,002006,4.92,4.87,4.96,4.81,45450,22096134.0,3.05,-1.02,-0.05,1.0
2020-01-16,002006,4.88,4.96,5.13,4.84,67398,33627020.0,5.95,1.85,0.09,1.48
2020-01-17,002006,4.94,4.75,4.99,4.73,71349,34319053.0,5.24,-4.23,-0.21,1.57
2020-01-20,002006,4.72,4.69,4.79,4.63,52081,24388396.0,3.37,-1.26,-0.06,1.14
2020-01-21,002006,4.69,4.7,4.73,4.64,30840,14448801.0,1.92,0.21,0.01,0.68
2020-01-22,002006,4.7,4.69,4.73,4.65,40565,19053775.0,1.7,-0.21,-0.01,0.89
2020-01-23,002006,4.69,4.49,4.69,4.45,53042,24192504.0,5.12,-4.26,-0.2,1.17
2020-02-03,002006,4.04,4.04,4.06,4.04,50119,20254284.0,0.45,-10.02,-0.45,1.1
2020-02-04,002006,3.78,3.86,4.0,3.78,63892,24859075.0,5.45,-4.46,-0.18,1.4
2020-02-05,002006,3.88,4.04,4.07,3.88,54606,21863338.0,4.92,4.66,0.18,1.2
2020-02-06,002006,4.04,4.07,4.08,3.95,58727,23698696.0,3.22,0.74,0.03,1.29
2020-02-07,002006,4.05,4.2,4.24,3.98,80626,33398846.0,6.39,3.19,0.13,1.77
2020-02-10,002006,4.5,4.29,4.5,4.18,82143,35567063.0,7.62,2.14,0.09,1.8
2020-02-11,002006,4.33,4.22,4.34,4.18,39591,16736285.0,3.73,-1.63,-0.07,0.87
2020-02-12,002006,4.26,4.42,4.55,4.22,106406,46645225.0,7.82,4.74,0.2,2.34
2020-02-13,002006,4.48,4.44,4.66,4.21,109550,49076180.0,10.18,0.45,0.02,2.41
