factor,ic_mean,ic_std,t,p,win_rate,n_days
gk_vol_21d_std,-0.044491185053711274,0.32390034320354966,-2.663523224264307,0.00806612376002803,0.4574468085106383,376
turnover_rate_std,-0.03785968472126953,0.2962805119096147,-2.477809017522157,0.013658791245144455,0.44680851063829785,376
atr14_std,-0.036855625265100514,0.31741756014358347,-2.2514730709831365,0.024933863653196137,0.4627659574468085,376
illiq_std,0.036083095033246075,0.2854509784325387,2.4511290022044228,0.014696584838419801,0.5478723404255319,376
volatility_21d_std,-0.0333917574665671,0.3192529581399233,-2.0281415842475927,0.04325223600138467,0.4441489361702128,376
volume_trend_20_60_std,-0.021090728720445515,0.27890073635841084,-1.4663439348535445,0.1433926534010107,0.449468085106383,376
vol_ratio_21_63_std,-0.02040864517053383,0.27278547049051166,-1.450730904874864,0.14769074367856855,0.4521276595744681,376
dist_to_low_252_std,-0.020368287842552405,0.3186265964522704,-1.2395567702608916,0.21591454067903407,0.4787234042553192,376
momentum_60d_std,-0.01840877048818104,0.36282938813426374,-0.983821364131976,0.32583766760090904,0.46808510638297873,376
momentum_5d_std,-0.014789239216654818,0.3243595820386547,-0.8841236828150225,0.37719593358743997,0.4787234042553192,376
volume_ratio_std,0.010652341754773826,0.2863143035916328,0.7214329415073079,0.47109273594385237,0.5212765957446809,376
breakout_high_63_std,-0.008983348511336768,0.3150115917812726,-0.37832761905205636,0.705645768445446,0.5,176
obv_std,-0.006021717802074068,0.2874709450348172,-0.4061817112351896,0.6848407754462422,0.4973404255319149,376
momentum_21d_std,-0.005031464465024091,0.3250702464374927,-0.3001311772788582,0.7642434024157125,0.5079787234042553,376
amplitude_hl_std,-0.0045912064029955445,0.3134536452556556,-0.28401901382119343,0.7765525629108488,0.4946808510638298,376
zero_ret_ratio_21_std,0.00376544507295888,0.2812479928416392,0.2596096356096425,0.7953073678538053,0.48404255319148937,376
roll_spread_21_std,0.003553071588713156,0.2701443786001292,0.2550362685585754,0.7988348980508746,0.5159574468085106,376
breakout_low_63_std,-0.0019014317227899586,0.2746442232086096,-0.08220908660585304,0.9345978663004205,0.44680851063829785,141
dist_to_high_252_std,0.0017083798550456926,0.3402823667267743,0.09735066429428603,0.9224999319328282,0.5079787234042553,376
momentum_250d_std,-0.0013315533158195598,0.3356781289210204,-0.07691825748579703,0.9387295945147908,0.48404255319148937,376
