factor,ic_mean,ic_std,t,p,win_rate,n_days
momentum_21d_std,-0.0669092524452251,0.3056752028274972,-1.8701971838095537,0.06552151491905693,0.3972602739726027,73
momentum_5d_std,-0.06453297998990985,0.33217545616133903,-1.659875865309231,0.10128910433354256,0.410958904109589,73
dist_to_high_252_std,-0.05807113635049535,0.3382222446516248,-1.4669644422250565,0.1467402632738602,0.410958904109589,73
momentum_60d_std,-0.05322397819333492,0.3644950609914309,-1.2476050232001443,0.21621832348793205,0.4520547945205479,73
volume_trend_20_60_std,-0.040469854304899223,0.2963856099091421,-1.1666375667142277,0.24720637466594778,0.4520547945205479,73
momentum_250d_std,-0.04045541343844309,0.35393452010421395,-0.9765964728013868,0.33203888858959263,0.410958904109589,73
gk_vol_21d_std,0.0381238649098721,0.33531599513534177,0.9714133811136986,0.33459464493002267,0.547945205479452,73
volatility_21d_std,0.03328819419766947,0.3613132830903193,0.7871685576216383,0.43376676417278826,0.5342465753424658,73
atr14_std,0.02532412736129298,0.3448484015606857,0.6274334984374551,0.5323599396580536,0.5616438356164384,73
amplitude_hl_std,0.023686701778972127,0.2972842916644985,0.6807600481701648,0.49820682462812216,0.5068493150684932,73
turnover_rate_std,0.021073468725446128,0.3235394727180907,0.5565064262620218,0.5795903152488556,0.4931506849315068,73
volume_ratio_std,-0.02073034794221036,0.27555841410235926,-0.6427681442316169,0.5224162462696413,0.4931506849315068,73
dist_to_low_252_std,-0.02019375474485721,0.33192859728293944,-0.5197970816145515,0.6047994868367632,0.4246575342465753,73
roll_spread_21_std,-0.018394014126855106,0.29162467729869446,-0.5352029427476146,0.5941819341825738,0.5416666666666666,72
obv_std,-0.015517405604848992,0.2678021036822178,-0.4950699407603065,0.6220582407791667,0.5068493150684932,73
illiq_std,0.015374005315718427,0.32960683813584685,0.3985219473629122,0.6914248738507782,0.5205479452054794,73
vol_ratio_21_63_std,-0.013245167685987269,0.25144160776151164,-0.4500717416020137,0.6540109274638651,0.4383561643835616,73
zero_ret_ratio_21_std,-0.0022540711859548755,0.2543615911939638,-0.07571423250110497,0.9398564395216771,0.5068493150684932,73
