factor,ic_mean,ic_std,t,p,win_rate,n_days
turnover_rate_std,-0.07474562060992704,0.2731512575632976,-5.938722076806003,5.59136560009137e-09,0.3842887473460722,471
volatility_21d_std,-0.06747107238782492,0.29023190224826273,-5.045252638036751,6.483147083218845e-07,0.40976645435244163,471
gk_vol_21d_std,-0.06610007497860679,0.28931372807308575,-4.958420609901829,9.943204013834276e-07,0.42250530785562634,471
atr14_std,-0.06494995635309686,0.29521952457223405,-4.774679672684296,2.4081685308659206e-06,0.4288747346072187,471
breakout_high_63_std,-0.06101680468512892,0.273472115426746,-2.630533342197584,0.009493811191236023,0.39568345323741005,139
zero_ret_ratio_21_std,0.056173627453563586,0.2734100755884545,4.458906938078822,1.0314928864156357e-05,0.5859872611464968,471
amplitude_hl_std,-0.0454608169026153,0.2800677573250553,-3.522772320349766,0.00046878200665457256,0.4182590233545648,471
dist_to_high_252_std,0.04367715056497818,0.32444403941194816,2.9216282258387927,0.00364974428596946,0.5456475583864119,471
dist_to_low_252_std,-0.03647703910817655,0.29492945228654666,-2.684181557440957,0.007527508800910143,0.4288747346072187,471
obv_std,0.027484532438323286,0.27030213074456494,2.2067307033731005,0.027815613267389,0.5583864118895966,471
breakout_low_63_std,0.026000314790316705,0.2839147188404707,1.4421702701561852,0.1505211134061991,0.532258064516129,248
illiq_std,0.024960932011372675,0.27289512005441535,1.9850684243806593,0.04771770850714934,0.5371549893842887,471
momentum_5d_std,0.01507730216492414,0.31041274344952646,1.054130914444643,0.29236457779150543,0.5116772823779193,471
momentum_60d_std,0.015019796547252526,0.3183337325204926,1.0239808671241182,0.30637105195242414,0.524416135881104,471
volume_trend_20_60_std,-0.013028501839235962,0.2647989443071749,-1.0677969667568823,0.2861602494536683,0.47770700636942676,471
roll_spread_21_std,-0.01255625431922106,0.2819929771311443,-0.9663451347220829,0.33436847612849885,0.47558386411889597,471
momentum_21d_std,0.009129068451881502,0.3160351624067382,0.6269046796497202,0.5310261125055205,0.5371549893842887,471
momentum_250d_std,0.009105759838921593,0.31899099887708093,0.619509851272898,0.5358807273528737,0.5159235668789809,471
vol_ratio_21_63_std,-0.007682068647065495,0.26595509863785777,-0.6268740852841688,0.5310461511302463,0.4883227176220807,471
volume_ratio_std,-0.0061750037551058035,0.2671327426796004,-0.5016728019140648,0.6161326087832856,0.47983014861995754,471
