date,long,short,ls_gross,turnover,cost_bps,ls_net,overlap_long,overlap_short,long_turnover,short_turnover,added_long,removed_long,added_short,removed_short,cum_ls_net,cum_ls_gross,drawdown
2022-05-27,0.0029504789506691873,0.0029504789506691873,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-05-30,0.008581566944868987,0.008581566944868987,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-06-01,-0.003265966232922882,-0.003265966232922882,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-06-15,-0.016746981358859436,-0.016746981358859436,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-06-16,0.009757753867366194,0.009757753867366194,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-06-17,0.005329861173233757,0.005329861173233757,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-06-20,0.0009355690490435878,0.0009355690490435878,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-06-21,-0.018984639159218705,-0.018984639159218705,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-06-22,0.017070569044330526,0.017070569044330526,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-07-01,1.5864938317012396e-05,1.5864938317012396e-05,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-07-06,-0.0010440186511460562,-0.0010440186511460562,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-07-07,0.005352059773512919,0.005352059773512919,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-07-08,-0.010676242592778194,-0.010676242592778194,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-07-11,-0.000331458957941887,-0.000331458957941887,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-07-12,0.004045276671020757,0.004045276671020757,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-07-13,-0.004354111267059186,-0.004354111267059186,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-07-15,0.02454386004692597,0.02454386004692597,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-07-18,-0.001441082965990575,-0.001441082965990575,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-07-19,0.0020224203415320375,0.0020224203415320375,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-07-20,-0.012462772710220945,-0.012462772710220945,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-08-17,-0.012023305089533157,-0.012023305089533157,0.0,0.11764705882352944,0.0005,-5.882352941176472e-05,0.9411764705882353,0.9411764705882353,0.05882352941176472,0.05882352941176472,1,0,1,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-08-18,0.001858060363457988,0.001858060363457988,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-08-19,0.008190218529734363,0.008190218529734363,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-08-22,-0.004907360432665188,-0.004907360432665188,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-08-23,-0.017820121577562936,-0.017820121577562936,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-08-24,0.008705405876977894,0.008705405876977894,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-08-25,-0.00492856131711273,-0.00492856131711273,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-09-05,0.006020272708415865,0.006020272708415865,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-09-07,-0.004306565024241918,-0.004306565024241918,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-09-09,0.002967890035152553,0.002967890035152553,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-09-13,-0.010865060556426684,-0.010865060556426684,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-09-14,-0.004546482467212577,-0.004546482467212577,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-09-15,-0.027177417198189297,-0.027177417198189297,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-09-19,0.004587294586426377,0.004587294586426377,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-09-26,0.014894266148296234,0.014894266148296234,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-09-27,-0.01290533979960316,-0.01290533979960316,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
2022-09-28,-0.009170215490517022,-0.009170215490517022,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.0010588235294117648,0.0,-5.882352941176481e-05
