date,market_return,xsec_vol,n_stocks,vol_ts,vol_xsec,volatility,regime
2021-06-24,-0.00809119148598167,0.028348274637892114,226,0.12825126243277463,0.03002822221580343,0.13407541081897972,高波动
2021-06-25,0.006514523583793557,0.024132400193065034,226,0.12962234736212838,0.029729621909287463,0.10773139315105024,高波动
2021-06-28,0.0035437573143487274,0.02590405959810972,226,0.1269871781539704,0.02924537006648384,0.0403425769082883,高波动
2021-06-29,-0.010332707776720683,0.027881477307208934,226,0.13100750028921984,0.029482341844312615,0.087182807968955,高波动
2021-06-30,0.00860913576248097,0.023655113233179426,226,0.12867558058960035,0.028791455942082034,-0.0017135123770569138,高波动
2021-07-01,-0.014975727377693801,0.027641072469786372,226,0.13838840805562738,0.027516737608403237,-0.09458146972603385,正常
2021-07-02,-0.009345289227369446,0.026076589434381597,226,0.1370019021226449,0.026992460030327563,-0.16009561356345214,正常
2021-07-05,0.008613035193778127,0.036211357320703234,226,0.13840356824527905,0.027309786266192633,-0.11758687352265465,正常
2021-07-06,0.0014522742498833219,0.02776020582935661,226,0.1380645785066895,0.02761130356665656,-0.08567798367176038,高波动
2021-07-07,0.011000861713705588,0.031126307201740415,226,0.14188522608004844,0.027873685722542348,-0.037017266184772635,高波动
2021-07-08,-7.159515923266302e-05,0.033593089097030224,226,0.14152819499029962,0.028398167168456157,0.019668392702620996,高波动
2021-07-09,0.006561924808316707,0.026949597276642007,226,0.14278830370068057,0.028679886876813852,0.05748712144662371,高波动
2021-07-12,0.014838920599257404,0.031294451997598144,227,0.1484657213139631,0.0292189261167627,0.14643091191138602,高波动
2021-07-13,0.006454082646540502,0.02605642761241822,227,0.1461952931455386,0.029036421147283626,0.11454914392937476,高波动
2021-07-14,-0.009782793527612525,0.028670253602184646,227,0.1486376685810494,0.029537935184184145,0.182884567962802,高波动
2021-07-15,-0.00034921611570349476,0.027188274155342067,227,0.1338125658279034,0.029492655352739715,0.10257329644100432,高波动
2021-07-16,0.00016532769012982706,0.029809662154827735,227,0.13317908429703293,0.02986596262478433,0.14099428317435964,高波动
2021-07-19,-0.003959719643455394,0.026111358958530964,227,0.1316672217032093,0.028855962788567103,0.020668610384744435,高波动
2021-07-20,0.007283856998946651,0.03282824305242651,227,0.1276916595064719,0.029362766510874095,0.057012779820517445,高波动
2021-07-21,0.013294781348754784,0.029223426237334142,228,0.13390822219662168,0.02917247841443347,0.06734789570160843,高波动
