train_window,alpha,top_n,bottom_n,cost_bps,ic_mean,ic_ir,ic_win_rate,long_mean,short_mean,ls_mean,ls_ann,ls_ir,n_days
756,0.5,20,20,0.0003,,,,,,,,,0
756,0.5,20,20,0.0005,,,,,,,,,0
756,0.5,30,30,0.0003,,,,,,,,,0
756,0.5,30,30,0.0005,,,,,,,,,0
756,0.5,40,40,0.0003,,,,,,,,,0
756,0.5,40,40,0.0005,,,,,,,,,0
756,1.0,20,20,0.0003,,,,,,,,,0
756,1.0,20,20,0.0005,,,,,,,,,0
756,1.0,30,30,0.0003,,,,,,,,,0
756,1.0,30,30,0.0005,,,,,,,,,0
756,1.0,40,40,0.0003,,,,,,,,,0
756,1.0,40,40,0.0005,,,,,,,,,0
900,0.5,20,20,0.0003,,,,,,,,,0
900,0.5,20,20,0.0005,,,,,,,,,0
900,0.5,30,30,0.0003,,,,,,,,,0
900,0.5,30,30,0.0005,,,,,,,,,0
900,0.5,40,40,0.0003,,,,,,,,,0
900,0.5,40,40,0.0005,,,,,,,,,0
900,1.0,20,20,0.0003,,,,,,,,,0
900,1.0,20,20,0.0005,,,,,,,,,0
900,1.0,30,30,0.0003,,,,,,,,,0
900,1.0,30,30,0.0005,,,,,,,,,0
900,1.0,40,40,0.0003,,,,,,,,,0
900,1.0,40,40,0.0005,,,,,,,,,0
