factor,ic_mean,ic_std,t,p,win_rate,n_days
gk_vol_21d_std,-0.053074451209795835,0.23619229329325045,-4.227868007493741,3.0084992835746178e-05,0.4406779661016949,354
atr14_std,-0.05101152990113736,0.23840127501562478,-4.025885379874794,6.95028698185402e-05,0.4350282485875706,354
amplitude_hl_std,-0.04825412731254291,0.1927143575319104,-4.711096771132885,3.5487638651053844e-06,0.4096045197740113,354
turnover_rate_std,-0.04495530325553443,0.19834253295467646,-4.264486142590596,2.5755599300612405e-05,0.4096045197740113,354
volatility_21d_std,-0.04304297575172994,0.21979829325066072,-3.6845088468260623,0.00026508480017198803,0.4293785310734463,354
dist_to_low_252_std,-0.030975817096927625,0.2144803007888438,-2.717296267486588,0.006906171379943024,0.4661016949152542,354
zero_ret_ratio_21_std,0.02663615873236337,0.12447372519469377,4.026201795736014,6.941357739554343e-05,0.5903954802259888,354
illiq_std,0.020886556736814537,0.1345095275889934,2.921564196611165,0.0037069499742105137,0.559322033898305,354
volume_trend_20_60_std,-0.018803040131274512,0.15564723253958637,-2.2729417229855127,0.023630183088467312,0.4406779661016949,354
volume_ratio_std,-0.01792372380938572,0.12267031620144264,-2.7490990606399794,0.006283267496902715,0.4463276836158192,354
roll_spread_21_std,-0.017211210453856846,0.10992158711719272,-2.945981774332323,0.003433036727565331,0.4435028248587571,354
momentum_60d_std,-0.01098227660350583,0.23046150817915123,-0.8965935477119868,0.37054687472254755,0.5225988700564972,354
vol_ratio_21_63_std,-0.010376491779057584,0.12852124615154678,-1.5190681200162641,0.12964046131882231,0.4604519774011299,354
breakout_high_63_std,-0.010321304669805551,0.1139778385720493,-1.681991235986623,0.0934780203943012,0.45217391304347826,345
momentum_250d_std,-0.009519903923095673,0.19304401836680804,-0.9278501605736804,0.3541192759984646,0.5056497175141242,354
breakout_low_63_std,-0.00797906405233607,0.10987635167816084,-1.2765180508147034,0.2027340921436533,0.4919093851132686,309
obv_std,-0.0050522158607966645,0.12956733823958866,-0.7336484291555694,0.46365000217660823,0.4943502824858757,354
momentum_5d_std,-0.004172871106252482,0.1653531676165566,-0.4748146193699127,0.6352127297356172,0.4717514124293785,354
momentum_21d_std,-0.0036611943143689024,0.20603719615363011,-0.33433264109623384,0.7383271082928042,0.5141242937853108,354
dist_to_high_252_std,-2.9989434715163623e-05,0.20535845690020818,-0.002747624108283225,0.9978092679687363,0.5141242937853108,354
