regime,ic_mean,ic_ir,ls_mean,ls_ann,ls_ir,weight_days
极高波动,0.016828251686616728,0.10480893659681681,0.002447202687652418,0.6166950772884093,0.8103459728004799,67
正常,0.042758812235115094,0.22873516518546655,0.004910979289837997,1.2375667810391753,2.3206984621033153,374
高波动,0.03862249565044146,0.21879417531483963,0.0021242622504027003,0.5353140871014805,0.8679183493646958,273
