factor,ic_mean,ic_std,t,p,win_rate,n_days
gk_vol_21d_std,-0.05765328028650998,0.19168859420125375,-6.52736958463194,1.7374657852555018e-10,0.39490445859872614,471
atr14_std,-0.05697106773300134,0.19305596240872658,-6.404446372249944,3.665454198164207e-10,0.4012738853503185,471
volatility_21d_std,-0.052377128732716674,0.17744282172844122,-6.406099879199174,3.629101922796407e-10,0.40764331210191085,471
turnover_rate_std,-0.05229342119854449,0.17854406569887957,-6.356412736294878,4.89197204712642e-10,0.3821656050955414,471
amplitude_hl_std,-0.04993985976118709,0.15206789942061724,-7.127220992973587,3.879640702880048e-12,0.3842887473460722,471
zero_ret_ratio_21_std,0.029255811256475903,0.12011738934849786,5.2858728786321345,1.9192822813861864e-07,0.5944798301486199,471
dist_to_low_252_std,-0.026703823375839108,0.1810579863719851,-3.200856573178062,0.001462992605553813,0.44798301486199577,471
illiq_std,0.023674604810653022,0.12107103998990094,4.243780558000441,2.648936063212051e-05,0.5817409766454352,471
dist_to_high_252_std,0.02098185362684303,0.19037360259489183,2.3919251104339345,0.017152301775651985,0.5414012738853503,471
volume_ratio_std,-0.019204337355621652,0.11735467941566632,-3.5514799617513373,0.00042169395689048916,0.42462845010615713,471
volume_trend_20_60_std,-0.019139349860645655,0.14461641143257056,-2.8722355568195965,0.004260092834336664,0.43312101910828027,471
breakout_high_63_std,-0.01319238892052819,0.09268690818502984,-3.056015224235313,0.002373468340201954,0.46637744034707157,461
vol_ratio_21_63_std,-0.01303195608446802,0.1202376837257066,-2.3522282419615674,0.019072888922969374,0.43524416135881105,471
momentum_5d_std,-0.009997647254433,0.16533036844342208,-1.3123679916961077,0.19003653102186188,0.4713375796178344,471
roll_spread_21_std,-0.008230067886744878,0.09777662232046815,-1.8267488414352897,0.06837162950376106,0.47770700636942676,471
momentum_21d_std,-0.00735728150578007,0.18095830263572382,-0.8823671130230109,0.37802936717833757,0.4564755838641189,471
obv_std,0.0046838689948655345,0.11780638295621348,0.8628719896315459,0.38864792910962753,0.5159235668789809,471
breakout_low_63_std,0.0037620756104230386,0.10042517349696692,0.7840106899835203,0.43345857925089315,0.5296803652968036,438
momentum_60d_std,-0.0019083679998151827,0.18438264133236526,-0.22462213303643294,0.8223708645240385,0.47983014861995754,471
momentum_250d_std,0.0013481535949338196,0.17524653067721688,0.16695537239241257,0.867476968145533,0.5010615711252654,471
