date,code,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2020-01-02,600592,15.5,15.29,15.9,15.17,82313,126206687.0,4.71,-1.29,-0.2,2.06
2020-01-03,600592,15.21,14.95,15.38,14.91,80206,120946196.0,3.07,-2.22,-0.34,2.01
2020-01-06,600592,15.03,15.13,15.29,14.78,55472,84044008.0,3.41,1.2,0.18,1.39
2020-01-07,600592,15.2,15.93,15.99,15.13,70270,110622290.0,5.68,5.29,0.8,1.76
2020-01-08,600592,15.84,15.96,16.1,15.51,73599,115848049.0,3.7,0.19,0.03,1.84
2020-01-09,600592,16.06,15.79,16.06,15.69,45963,72698681.0,2.32,-1.07,-0.17,1.15
2020-01-10,600592,15.81,16.32,16.5,15.81,75724,123360607.0,4.37,3.36,0.53,1.9
2020-01-13,600592,16.39,17.05,17.1,16.39,91790,154808101.0,4.35,4.47,0.73,2.3
2020-01-14,600592,17.42,17.1,18.02,16.85,119935,207552704.0,6.86,0.29,0.05,3.0
2020-01-15,600592,17.3,17.67,18.0,17.16,101500,179686650.0,4.91,3.33,0.57,2.54
2020-01-16,600592,17.89,17.54,18.13,17.44,71915,127113472.0,3.9,-0.74,-0.13,1.8
2020-01-17,600592,17.62,16.96,18.0,15.79,181805,311083120.0,12.6,-3.31,-0.58,4.55
2020-01-20,600592,17.05,15.26,17.08,15.26,149876,236591280.0,10.73,-10.02,-1.7,3.75
2020-01-21,600592,14.53,13.73,15.0,13.73,208240,289761808.0,8.32,-10.03,-1.53,5.21
2020-01-22,600592,13.6,14.4,14.5,12.84,154050,209688451.0,12.09,4.88,0.67,3.86
2020-01-23,600592,14.05,13.56,14.6,13.21,102043,141804623.0,9.65,-5.83,-0.84,2.55
2020-02-03,600592,12.2,12.2,12.2,12.2,6043,7372460.0,0.0,-10.03,-1.36,0.15
2020-02-04,600592,10.98,11.66,12.0,10.98,117892,135797582.0,8.36,-4.43,-0.54,2.95
2020-02-05,600592,11.88,12.43,12.71,11.78,74458,91807731.0,7.98,6.6,0.77,1.86
2020-02-06,600592,12.66,12.59,12.66,12.2,65101,81384850.0,3.7,1.29,0.16,1.63
2020-02-07,600592,12.59,12.8,12.95,12.35,52000,65970876.0,4.77,1.67,0.21,1.3
2020-02-10,600592,12.8,13.33,13.4,12.8,46829,61797080.0,4.69,4.14,0.53,1.17
2020-02-11,600592,13.33,13.23,13.44,12.95,49977,65806724.0,3.68,-0.75,-0.1,1.25
2020-02-12,600592,13.24,13.28,13.29,13.03,37574,49535793.0,1.97,0.38,0.05,0.94
2020-02-13,600592,13.28,13.08,13.38,12.99,38161,50053720.0,2.94,-1.51,-0.2,0.96
2020-02-14,600592,13.06,13.08,13.14,12.8,42947,55663291.0,2.6,0.0,0.0,1.07
2020-02-17,600592,13.1,13.49,13.55,13.08,48160,64370559.0,3.59,3.13,0.41,1.21
2020-02-18,600592,13.59,13.77,13.99,13.51,61920,85304587.0,3.56,2.08,0.28,1.55
2020-02-19,600592,13.81,13.58,13.89,13.55,52742,72323426.0,2.47,-1.38,-0.19,1.32
2020-02-20,600592,13.65,13.75,13.79,13.31,78298,106276326.0,3.53,1.25,0.17,1.96
2020-02-21,600592,13.59,14.27,14.45,13.59,91983,129213506.0,6.25,3.78,0.52,2.3
2020-02-24,600592,14.28,14.22,14.65,14.06,66872,95723476.0,4.13,-0.35,-0.05,1.67
2020-02-25,600592,14.0,13.77,14.0,12.83,79272,108667875.0,8.23,-3.16,-0.45,1.98
2020-02-26,600592,13.68,13.41,13.77,13.38,59997,81422697.0,2.83,-2.61,-0.36,1.5
2020-02-27,600592,13.64,13.42,13.76,13.23,36948,49736451.0,3.95,0.07,0.01,0.92
2020-02-28,600592,13.37,12.4,13.37,12.36,76028,96566314.0,7.53,-7.6,-1.02,1.9
2020-03-02,600592,12.71,12.82,12.96,12.61,34161,43673493.0,2.82,3.39,0.42,0.85
2020-03-03,600592,12.9,13.07,13.47,12.9,43870,57911619.0,4.45,1.95,0.25,1.1
2020-03-04,600592,12.96,13.2,13.25,12.9,41056,53703071.0,2.68,0.99,0.13,1.03
2020-03-05,600592,13.31,13.51,13.65,13.2,62015,83449033.0,3.41,2.35,0.31,1.55
2020-03-06,600592,13.41,13.36,13.5,13.24,36504,48810758.0,1.92,-1.11,-0.15,0.91
2020-03-09,600592,13.09,12.61,13.23,12.61,72584,93085691.0,4.64,-5.61,-0.75,1.82
2020-03-10,600592,12.45,12.86,12.89,12.02,55257,68808663.0,6.9,1.98,0.25,1.38
2020-03-11,600592,13.1,13.21,13.6,12.98,75990,101500158.0,4.82,2.72,0.35,1.9
2020-03-12,600592,13.09,12.84,13.1,12.56,53406,68244315.0,4.09,-2.8,-0.37,1.34
2020-03-13,600592,11.92,12.43,12.61,11.92,55666,67946872.0,5.37,-3.19,-0.41,1.39
2020-03-16,600592,12.55,12.2,13.06,11.9,48696,61112583.0,9.33,-1.85,-0.23,1.22
2020-03-17,600592,12.2,12.3,12.44,11.7,46955,56686232.0,6.07,0.82,0.1,1.18
2020-03-18,600592,12.5,12.27,12.61,12.26,40262,50118661.0,2.85,-0.24,-0.03,1.01
2020-03-19,600592,12.41,12.23,12.41,11.84,31633,38369329.0,4.65,-0.33,-0.04,0.79
2020-03-20,600592,12.34,12.3,12.53,12.11,29377,36083862.0,3.43,0.57,0.07,0.74
2020-03-23,600592,12.2,12.29,12.29,11.86,41083,49424168.0,3.5,-0.08,-0.01,1.03
2020-03-24,600592,12.45,12.75,12.75,12.11,48428,60267560.0,5.21,3.74,0.46,1.21
2020-03-25,600592,13.0,13.04,13.07,12.66,49313,63614384.0,3.22,2.27,0.29,1.23
2020-03-26,600592,13.04,13.34,13.35,12.88,49468,65206347.0,3.6,2.3,0.3,1.24
2020-03-27,600592,13.49,13.55,13.6,13.29,50550,68003305.0,2.32,1.57,0.21,1.27
2020-03-30,600592,13.55,13.56,13.65,13.16,47099,63190446.0,3.62,0.07,0.01,1.18
2020-03-31,600592,13.64,13.9,13.98,13.54,54337,74579830.0,3.24,2.51,0.34,1.36
2020-04-01,600592,13.73,14.5,14.86,13.73,88067,127362495.0,8.13,4.32,0.6,2.2
2020-04-02,600592,14.5,14.57,14.59,14.18,56709,81740207.0,2.83,0.48,0.07,1.42
2020-04-03,600592,14.6,14.75,14.94,14.42,88870,130913696.0,3.57,1.24,0.18,2.22
2020-04-07,600592,14.88,15.2,15.26,14.88,96661,146314076.0,2.58,3.05,0.45,2.42
2020-04-08,600592,15.15,15.16,15.25,14.91,78622,118419363.0,2.24,-0.26,-0.04,1.97
2020-04-09,600592,15.29,15.16,15.3,15.04,51965,78708874.0,1.72,0.0,0.0,1.3
2020-04-10,600592,15.15,14.25,15.15,14.12,90056,130733927.0,6.79,-6.0,-0.91,2.25
2020-04-13,600592,14.1,13.99,14.15,13.6,59086,81937235.0,3.86,-1.82,-0.26,1.48
2020-04-14,600592,14.01,13.99,14.31,13.95,40089,56374234.0,2.57,0.0,0.0,1.0
2020-04-15,600592,14.09,13.99,14.28,13.91,51199,72046480.0,2.64,0.0,0.0,1.28
2020-04-16,600592,13.89,13.68,13.91,13.3,72093,98107019.0,4.36,-2.22,-0.31,1.8
2020-04-17,600592,13.73,13.39,13.78,13.2,63275,84980115.0,4.24,-2.12,-0.29,1.58
2020-04-20,600592,13.38,12.45,13.38,12.28,149948,188779407.0,8.22,-7.02,-0.94,3.75
2020-04-21,600592,12.43,12.17,12.44,11.3,200944,237521343.0,9.16,-2.25,-0.28,5.03
2020-04-22,600592,11.99,11.72,11.99,11.51,119690,140546792.0,3.94,-3.7,-0.45,3.0
2020-04-23,600592,11.82,11.81,11.99,11.72,96105,113553528.0,2.3,0.77,0.09,2.41
2020-04-24,600592,11.85,11.55,11.87,11.52,48475,56379632.0,2.96,-2.2,-0.26,1.21
2020-04-27,600592,11.55,11.9,11.95,11.0,64013,75261933.0,8.23,3.03,0.35,1.6
2020-04-28,600592,11.98,11.62,12.0,11.3,54128,63505389.0,5.88,-2.35,-0.28,1.35
2020-04-29,600592,11.62,11.39,11.73,11.38,40041,46070416.0,3.01,-1.98,-0.23,1.0
2020-04-30,600592,11.3,11.54,11.67,11.26,36169,41642616.0,3.6,1.32,0.15,0.91
2020-05-06,600592,11.7,11.65,11.7,11.48,41875,48504578.0,1.91,0.95,0.11,1.05
2020-05-07,600592,11.58,11.45,11.67,11.37,44021,50758736.0,2.58,-1.72,-0.2,1.1
2020-05-08,600592,11.52,11.44,11.52,11.4,33653,38484908.0,1.05,-0.09,-0.01,0.84
2020-05-11,600592,11.45,11.24,11.51,11.13,46749,52810724.0,3.32,-1.75,-0.2,1.17
2020-05-12,600592,11.2,11.14,11.32,11.02,44093,48947766.0,2.67,-0.89,-0.1,1.1
2020-05-13,600592,11.09,11.08,11.1,10.6,79928,87118378.0,4.49,-0.54,-0.06,2.0
2020-05-14,600592,11.08,11.25,11.37,10.9,60572,67856300.0,4.24,1.53,0.17,1.52
2020-05-15,600592,11.28,11.14,11.32,11.1,35555,39740315.0,1.96,-0.98,-0.11,0.89
2020-05-18,600592,11.17,11.06,11.23,11.0,24942,27812385.0,2.06,-0.72,-0.08,0.62
2020-05-19,600592,11.05,10.9,11.19,10.79,53168,58166328.0,3.62,-1.45,-0.16,1.33
2020-05-20,600592,10.92,11.5,11.68,10.85,106015,120690568.0,7.61,5.5,0.6,2.65
2020-05-21,600592,11.5,11.5,11.82,11.36,76036,88193654.0,4.0,0.0,0.0,1.9
2020-05-22,600592,11.52,11.76,12.01,11.42,71124,82967912.0,5.13,2.26,0.26,1.78
2020-05-25,600592,11.84,12.22,12.35,11.7,93238,112841971.0,5.53,3.91,0.46,2.33
2020-05-26,600592,12.23,11.96,12.39,11.86,103748,125457175.0,4.34,-2.13,-0.26,2.6
2020-05-27,600592,11.95,12.0,12.13,11.61,79413,93978050.0,4.35,0.33,0.04,1.99
2020-05-28,600592,11.92,12.31,12.48,11.8,105363,128674462.0,5.67,2.58,0.31,2.64
2020-05-29,600592,12.35,12.1,12.56,12.1,79904,98354105.0,3.74,-1.71,-0.21,2.0
2020-06-01,600592,12.16,12.25,12.31,12.03,74522,90808880.0,2.31,1.24,0.15,1.87
2020-06-02,600592,12.28,12.24,12.32,12.14,62803,76746864.0,1.47,-0.08,-0.01,1.57
2020-06-03,600592,12.31,12.39,12.55,12.28,75609,93956548.0,2.21,1.23,0.15,1.89
2020-06-04,600592,12.39,12.72,12.76,12.3,84277,105977562.0,3.71,2.66,0.33,2.11
2020-06-05,600592,12.77,13.15,13.33,12.7,119446,156752268.0,4.95,3.38,0.43,2.99
2020-06-08,600592,13.2,13.74,13.94,13.18,103318,140951133.0,5.78,4.49,0.59,2.59
2020-06-09,600592,13.83,13.36,13.83,12.97,128640,172925578.0,6.26,-2.77,-0.38,3.22
2020-06-10,600592,13.42,13.29,13.69,13.24,90083,121647003.0,3.37,-0.52,-0.07,2.25
2020-06-11,600592,13.26,13.3,13.52,13.16,90041,120073358.0,2.71,0.08,0.01,2.25
2020-06-12,600592,13.09,13.1,13.28,12.9,67940,89026272.0,2.86,-1.5,-0.2,1.7
2020-06-15,600592,13.14,12.55,13.24,12.55,81242,104680811.0,5.27,-4.2,-0.55,2.03
2020-06-16,600592,12.8,12.12,12.8,12.03,121445,148568682.0,6.14,-3.43,-0.43,3.04
2020-06-17,600592,12.14,12.17,12.5,11.88,67105,81740179.0,5.12,0.41,0.05,1.68
2020-06-18,600592,12.1,12.04,12.39,11.98,54728,66304856.0,3.37,-1.07,-0.13,1.37
2020-06-19,600592,11.96,12.1,12.15,11.94,42023,50483132.0,1.74,0.5,0.06,1.05
2020-06-22,600592,12.18,11.88,12.18,11.86,46014,55024683.0,2.64,-1.82,-0.22,1.15
2020-06-23,600592,11.9,11.66,12.0,11.46,50082,58428126.0,4.55,-1.85,-0.22,1.25
2020-06-24,600592,11.79,11.75,11.92,11.56,46497,54806653.0,3.09,0.77,0.09,1.16
2020-06-29,600592,11.72,11.82,11.95,11.55,33512,39526832.0,3.4,0.6,0.07,0.84
2020-06-30,600592,11.85,12.14,12.16,11.77,54533,65201556.0,3.3,2.71,0.32,1.36
2020-07-01,600592,12.2,12.06,12.36,11.96,37863,46012098.0,3.29,-0.66,-0.08,0.95
2020-07-02,600592,12.06,11.98,12.1,11.9,33968,40673297.0,1.66,-0.66,-0.08,0.85
2020-07-03,600592,11.95,12.03,12.08,11.83,51052,61111213.0,2.09,0.42,0.05,1.28
2020-07-06,600592,12.0,12.46,12.52,11.98,95660,117423778.0,4.49,3.57,0.43,2.39
2020-07-07,600592,12.45,12.7,12.86,12.27,124651,156496755.0,4.74,1.93,0.24,3.12
2020-07-08,600592,12.83,12.75,12.84,12.55,100643,128221175.0,2.28,0.39,0.05,2.52
