date,code,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2020-01-02,300382,5.63,5.7,5.73,5.6,85711,48603599.0,2.31,1.24,0.07,1.52
2020-01-03,300382,5.7,5.73,5.78,5.66,75458,43098962.0,2.11,0.53,0.03,1.34
2020-01-06,300382,5.69,5.77,5.78,5.64,89544,51167454.0,2.44,0.7,0.04,1.59
2020-01-07,300382,5.76,5.9,5.9,5.71,117274,68143644.0,3.29,2.25,0.13,2.08
2020-01-08,300382,5.87,5.83,5.87,5.71,133834,77389249.0,2.71,-1.19,-0.07,2.37
2020-01-09,300382,5.79,6.0,6.0,5.76,172226,101338321.0,4.12,2.92,0.17,3.05
2020-01-10,300382,5.96,5.88,5.96,5.8,146357,85679169.0,2.67,-2.0,-0.12,2.59
2020-01-13,300382,5.8,5.92,5.92,5.75,126251,73481461.0,2.89,0.68,0.04,2.24
2020-01-14,300382,5.85,5.94,5.96,5.82,132168,77843707.0,2.36,0.34,0.02,2.34
2020-01-15,300382,5.9,5.9,6.04,5.84,114743,67630645.0,3.37,-0.67,-0.04,2.03
2020-01-16,300382,5.89,5.86,5.89,5.76,141202,82116552.0,2.2,-0.68,-0.04,2.5
2020-01-17,300382,5.81,5.76,5.83,5.72,144310,83203053.0,1.88,-1.71,-0.1,2.56
2020-01-20,300382,5.64,5.7,5.78,5.52,142992,80695725.0,4.51,-1.04,-0.06,2.53
2020-01-21,300382,5.66,5.8,5.83,5.66,138554,79957293.0,2.98,1.75,0.1,2.45
2020-01-22,300382,5.75,5.93,5.94,5.7,133425,78112345.0,4.14,2.24,0.13,2.36
2020-01-23,300382,5.92,5.69,5.94,5.6,130161,74417082.0,5.73,-4.05,-0.24,2.31
2020-02-03,300382,5.12,5.12,5.12,5.12,7338,3757056.0,0.0,-10.02,-0.57,0.13
2020-02-04,300382,4.7,4.94,5.09,4.7,61442,30329117.0,7.62,-3.52,-0.18,1.09
2020-02-05,300382,4.96,4.97,5.13,4.93,36666,18441203.0,4.05,0.61,0.03,0.65
2020-02-06,300382,4.99,5.04,5.1,4.92,65688,32876627.0,3.62,1.41,0.07,1.16
2020-02-07,300382,5.0,5.04,5.07,4.96,61421,30776093.0,2.18,0.0,0.0,1.09
2020-02-10,300382,5.03,5.16,5.18,5.02,97120,49621600.0,3.17,2.38,0.12,1.72
2020-02-11,300382,5.23,5.11,5.23,5.08,51740,26519959.0,2.91,-0.97,-0.05,0.92
2020-02-12,300382,5.11,5.17,5.21,5.07,76659,39567322.0,2.74,1.17,0.06,1.36
2020-02-13,300382,5.15,5.04,5.17,5.04,47922,24369901.0,2.51,-2.51,-0.13,0.85
2020-02-14,300382,5.01,5.03,5.08,5.01,45342,22872067.0,1.39,-0.2,-0.01,0.8
2020-02-17,300382,5.06,5.29,5.32,5.05,110450,57631057.0,5.37,5.17,0.26,1.96
2020-02-18,300382,5.29,5.48,5.58,5.23,140811,75373931.0,6.62,3.59,0.19,2.49
2020-02-19,300382,5.52,5.39,5.52,5.38,90677,49356300.0,2.55,-1.64,-0.09,1.61
2020-02-20,300382,5.43,5.55,5.6,5.36,98912,54273093.0,4.45,2.97,0.16,1.75
2020-02-21,300382,5.51,5.61,5.64,5.45,113934,63304053.0,3.42,1.08,0.06,2.02
2020-02-24,300382,5.58,5.7,5.77,5.54,170880,96410634.0,4.1,1.6,0.09,3.03
2020-02-25,300382,5.51,5.69,5.69,5.41,149853,83497929.0,4.91,-0.18,-0.01,2.65
2020-02-26,300382,5.64,6.26,6.26,5.59,306503,182730301.0,11.78,10.02,0.57,5.43
2020-02-27,300382,6.89,6.89,6.89,6.89,16869,11622396.0,0.0,10.06,0.63,0.3
2020-02-28,300382,6.78,7.58,7.58,6.36,380760,280582336.0,17.71,10.01,0.69,6.74
2020-03-02,300382,8.2,8.34,8.34,7.82,249013,204039299.0,6.86,10.03,0.76,4.41
2020-03-03,300382,9.17,7.92,9.17,7.81,822383,718068656.0,16.31,-5.04,-0.42,14.57
2020-03-04,300382,7.5,8.03,8.35,7.15,735668,567020096.0,15.15,1.39,0.11,13.03
2020-03-05,300382,7.8,7.76,8.09,7.47,562140,438873936.0,7.72,-3.36,-0.27,9.96
2020-03-06,300382,7.51,7.73,7.91,7.23,500231,379375376.0,8.76,-0.39,-0.03,8.86
2020-03-09,300382,7.36,7.03,7.64,7.03,351416,258711364.0,7.89,-9.06,-0.7,6.23
2020-03-10,300382,7.11,7.19,7.42,6.53,480680,334532480.0,12.66,2.28,0.16,8.51
2020-03-11,300382,7.13,7.05,7.24,6.97,355483,251575328.0,3.76,-1.95,-0.14,6.3
2020-03-12,300382,6.99,6.63,6.99,6.58,163781,110452324.0,5.82,-5.96,-0.42,2.9
2020-03-13,300382,6.11,6.47,6.67,6.05,192931,122126898.0,9.35,-2.41,-0.16,3.42
2020-03-16,300382,6.69,6.19,6.8,6.19,176915,116701763.0,9.43,-4.33,-0.28,3.13
2020-03-17,300382,6.32,6.43,6.58,6.11,174620,111082332.0,7.59,3.88,0.24,3.09
2020-03-18,300382,6.51,6.38,6.64,6.3,165379,107016293.0,5.29,-0.78,-0.05,2.93
2020-03-19,300382,6.38,6.43,6.55,6.2,149381,95171638.0,5.49,0.78,0.05,2.65
2020-03-20,300382,6.54,6.42,6.54,6.3,123730,79231908.0,3.73,-0.16,-0.01,2.19
2020-03-23,300382,6.25,5.94,6.29,5.9,91196,55887728.0,6.07,-7.48,-0.48,1.62
2020-03-24,300382,6.14,6.27,6.28,5.94,146284,89793765.0,5.72,5.56,0.33,2.59
2020-03-25,300382,6.58,6.36,6.59,6.31,147200,94555401.0,4.47,1.44,0.09,2.61
2020-03-26,300382,6.4,6.19,6.4,6.18,111470,69789506.0,3.46,-2.67,-0.17,1.97
2020-03-27,300382,6.3,6.14,6.3,6.07,103165,63617351.0,3.72,-0.81,-0.05,1.83
2020-03-30,300382,6.0,6.05,6.16,5.84,153388,91659448.0,5.21,-1.47,-0.09,2.72
2020-03-31,300382,6.11,5.92,6.12,5.91,99868,59838461.0,3.47,-2.15,-0.13,1.77
2020-04-01,300382,6.0,6.0,6.1,5.97,70825,42652541.0,2.2,1.35,0.08,1.25
2020-04-02,300382,5.91,6.15,6.15,5.9,96542,58386232.0,4.17,2.5,0.15,1.71
2020-04-03,300382,6.17,6.3,6.35,6.04,145394,90146862.0,5.04,2.44,0.15,2.58
2020-04-07,300382,6.38,6.44,6.54,6.29,132031,84492400.0,3.97,2.22,0.14,2.34
2020-04-08,300382,6.56,6.42,6.56,6.39,93420,60290978.0,2.64,-0.31,-0.02,1.65
2020-04-09,300382,6.45,6.41,6.46,6.35,74913,47962245.0,1.71,-0.16,-0.01,1.33
2020-04-10,300382,6.31,6.69,6.69,6.14,142152,90030006.0,8.58,4.37,0.28,2.52
2020-04-13,300382,6.5,7.08,7.16,6.45,208955,143534207.0,10.61,5.83,0.39,3.7
2020-04-14,300382,7.1,7.09,7.27,6.85,180110,127530498.0,5.93,0.14,0.01,3.19
2020-04-15,300382,7.08,6.63,7.08,6.62,207719,142254243.0,6.49,-6.49,-0.46,3.68
2020-04-16,300382,6.6,6.95,6.98,6.36,228372,152611654.0,9.35,4.83,0.32,4.05
2020-04-17,300382,7.05,7.2,7.24,6.86,232106,164545067.0,5.47,3.6,0.25,4.11
2020-04-20,300382,7.09,7.03,7.25,6.99,149732,105698260.0,3.61,-2.36,-0.17,2.65
2020-04-21,300382,6.98,7.03,7.12,6.87,151672,105829439.0,3.56,0.0,0.0,2.69
2020-04-22,300382,6.96,7.07,7.09,6.76,198060,137620724.0,4.69,0.57,0.04,3.51
2020-04-23,300382,7.0,6.91,7.15,6.89,140741,98188358.0,3.68,-2.26,-0.16,2.49
2020-04-24,300382,6.83,6.53,6.86,6.53,116580,77996991.0,4.78,-5.5,-0.38,2.07
2020-04-27,300382,6.51,6.37,6.55,6.37,76861,49539259.0,2.76,-2.45,-0.16,1.36
2020-04-28,300382,6.37,6.22,6.43,5.73,101514,62664954.0,10.99,-2.35,-0.15,1.8
2020-04-29,300382,6.15,6.06,6.22,6.06,71020,43545032.0,2.57,-2.57,-0.16,1.26
2020-04-30,300382,6.11,6.34,6.38,6.1,53859,33823555.0,4.62,4.62,0.28,0.95
2020-05-06,300382,6.22,6.42,6.42,6.18,102998,65246452.0,3.79,1.26,0.08,1.82
2020-05-07,300382,6.38,6.14,6.38,6.14,119894,75059700.0,3.74,-4.36,-0.28,2.12
2020-05-08,300382,6.2,6.75,6.75,6.13,169570,108240616.0,10.1,9.93,0.61,3.0
2020-05-11,300382,6.78,6.69,6.8,6.57,119794,79822783.0,3.41,-0.89,-0.06,2.12
2020-05-12,300382,6.65,6.61,6.75,6.53,81736,54054048.0,3.29,-1.2,-0.08,1.45
2020-05-13,300382,6.51,6.6,6.67,6.45,105766,69320468.0,3.33,-0.15,-0.01,1.87
2020-05-14,300382,6.53,6.54,6.61,6.43,120315,78610470.0,2.73,-0.91,-0.06,2.13
2020-05-15,300382,6.52,6.68,6.9,6.47,133081,88712631.0,6.57,2.14,0.14,2.36
2020-05-18,300382,6.66,6.67,6.77,6.43,123908,81799434.0,5.09,-0.15,-0.01,2.19
2020-05-19,300382,6.7,6.83,6.87,6.66,148950,100720826.0,3.15,2.4,0.16,2.64
2020-05-20,300382,6.81,6.75,6.87,6.69,122202,82641379.0,2.64,-1.17,-0.08,2.16
2020-05-21,300382,6.73,6.43,6.75,6.43,82386,54265469.0,4.74,-4.74,-0.32,1.46
2020-05-22,300382,6.41,6.23,6.44,6.22,53016,33456924.0,3.42,-3.11,-0.2,0.94
2020-05-25,300382,6.23,6.31,6.37,6.15,71009,44152356.0,3.53,1.28,0.08,1.26
2020-05-26,300382,6.29,6.53,6.57,6.25,98850,63383678.0,5.07,3.49,0.22,1.75
2020-05-27,300382,6.49,6.47,6.57,6.41,70784,45918142.0,2.45,-0.92,-0.06,1.25
2020-05-28,300382,6.48,6.69,6.75,6.27,113477,73545520.0,7.42,3.4,0.22,2.01
2020-05-29,300382,7.36,7.36,7.36,7.36,40836,30055509.0,0.0,10.01,0.67,0.72
2020-06-01,300382,7.5,7.6,7.82,7.36,379692,287441680.0,6.25,3.26,0.24,6.73
2020-06-02,300382,7.5,7.2,7.62,7.13,265336,195184747.0,6.45,-5.26,-0.4,4.7
2020-06-03,300382,7.15,6.85,7.2,6.85,174623,121468483.0,4.86,-4.86,-0.35,3.09
2020-06-04,300382,6.91,7.15,7.18,6.9,200057,141429105.0,4.09,4.38,0.3,3.54
2020-06-05,300382,7.08,7.45,7.49,6.9,309054,222380992.0,8.25,4.2,0.3,5.47
2020-06-08,300382,7.34,7.39,7.59,7.22,209023,154908359.0,4.97,-0.81,-0.06,3.7
2020-06-09,300382,7.32,7.42,7.5,7.25,141780,104895718.0,3.38,0.41,0.03,2.51
2020-06-10,300382,7.35,7.49,7.57,7.33,144706,107849292.0,3.23,0.94,0.07,2.56
2020-06-11,300382,7.5,7.36,7.7,7.36,164710,124246042.0,4.54,-1.74,-0.13,2.92
2020-06-12,300382,7.13,7.33,7.44,7.13,89740,65716937.0,4.21,-0.41,-0.03,1.59
2020-06-15,300382,7.25,8.06,8.06,7.24,257951,202307606.0,11.19,9.96,0.73,4.57
2020-06-16,300382,8.2,7.93,8.48,7.83,317554,255537901.0,8.06,-1.61,-0.13,5.63
2020-06-17,300382,7.82,7.92,8.06,7.7,206897,163102798.0,4.54,-0.13,-0.01,3.67
2020-06-18,300382,7.86,7.75,8.02,7.74,127944,100538306.0,3.54,-2.15,-0.17,2.27
