train_window,alpha,top_n,bottom_n,cost_bps,ic_mean,ic_std,ic_ir,ic_win_rate,n_days,long_mean,short_mean,ls_mean,ls_ann,ls_ir
756,0.5,20,20,0.0003,0.06493877847110896,0.28371747679586296,0.2288853658381889,0.5673758865248227,282,0.000350131605025382,0.000350131605025382,-2.377972465581977e-06,-0.0005992490613266582,-1.053340490702803
756,0.5,20,20,0.0005,0.06493877847110896,0.28371747679586296,0.2288853658381889,0.5673758865248227,282,0.000350131605025382,0.000350131605025382,-3.96328744263663e-06,-0.0009987484355444306,-1.053340502459639
756,0.5,30,30,0.0003,0.06493877847110896,0.28371747679586296,0.2288853658381889,0.5673758865248227,282,0.000350131605025382,0.000350131605025382,-2.377972465581977e-06,-0.0005992490613266582,-1.053340490702803
756,0.5,30,30,0.0005,0.06493877847110896,0.28371747679586296,0.2288853658381889,0.5673758865248227,282,0.000350131605025382,0.000350131605025382,-3.96328744263663e-06,-0.0009987484355444306,-1.053340502459639
756,0.5,40,40,0.0003,0.06493877847110896,0.28371747679586296,0.2288853658381889,0.5673758865248227,282,,,,,
756,0.5,40,40,0.0005,0.06493877847110896,0.28371747679586296,0.2288853658381889,0.5673758865248227,282,,,,,
756,1.0,20,20,0.0003,0.06506045834873377,0.2838199203408415,0.22923147279656114,0.5709219858156028,282,0.000350131605025382,0.000350131605025382,-2.377972465581977e-06,-0.0005992490613266582,-1.053340490702803
756,1.0,20,20,0.0005,0.06506045834873377,0.2838199203408415,0.22923147279656114,0.5709219858156028,282,0.000350131605025382,0.000350131605025382,-3.96328744263663e-06,-0.0009987484355444306,-1.053340502459639
756,1.0,30,30,0.0003,0.06506045834873377,0.2838199203408415,0.22923147279656114,0.5709219858156028,282,0.000350131605025382,0.000350131605025382,-2.377972465581977e-06,-0.0005992490613266582,-1.053340490702803
756,1.0,30,30,0.0005,0.06506045834873377,0.2838199203408415,0.22923147279656114,0.5709219858156028,282,0.000350131605025382,0.000350131605025382,-3.96328744263663e-06,-0.0009987484355444306,-1.053340502459639
756,1.0,40,40,0.0003,0.06506045834873377,0.2838199203408415,0.22923147279656114,0.5709219858156028,282,,,,,
756,1.0,40,40,0.0005,0.06506045834873377,0.2838199203408415,0.22923147279656114,0.5709219858156028,282,,,,,
