date,code,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2020-01-02,601222,4.89,4.91,5.0,4.87,229352,113104141.0,2.67,1.03,0.05,1.31
2020-01-03,601222,4.95,4.91,4.95,4.86,113551,55715558.0,1.83,0.0,0.0,0.65
2020-01-06,601222,4.88,5.07,5.14,4.85,363297,183473951.0,5.91,3.26,0.16,2.08
2020-01-07,601222,5.04,5.26,5.39,5.04,485814,256109262.0,6.9,3.75,0.19,2.78
2020-01-08,601222,5.28,5.3,5.43,5.24,493231,263307464.0,3.61,0.76,0.04,2.82
2020-01-09,601222,5.5,5.4,5.61,5.37,442482,241483944.0,4.53,1.89,0.1,2.53
2020-01-10,601222,5.42,5.34,5.43,5.32,218464,116857181.0,2.04,-1.11,-0.06,1.25
2020-01-13,601222,5.32,5.41,5.43,5.31,205094,110268900.0,2.25,1.31,0.07,1.17
2020-01-14,601222,5.39,5.4,5.44,5.38,155017,83874755.0,1.11,-0.18,-0.01,0.89
2020-01-15,601222,5.39,5.4,5.41,5.28,187711,100573187.0,2.41,0.0,0.0,1.07
2020-01-16,601222,5.39,5.35,5.44,5.34,112870,60634175.0,1.85,-0.93,-0.05,0.65
2020-01-17,601222,5.35,5.45,5.58,5.32,347009,189827520.0,4.86,1.87,0.1,1.98
2020-01-20,601222,5.48,5.43,5.5,5.37,229802,124777846.0,2.39,-0.37,-0.02,1.31
2020-01-21,601222,5.39,5.32,5.4,5.3,164009,87617884.0,1.84,-2.03,-0.11,0.94
2020-01-22,601222,5.31,5.35,5.4,5.18,205020,108821561.0,4.14,0.56,0.03,1.17
2020-01-23,601222,5.3,5.16,5.38,5.08,201234,105305012.0,5.61,-3.55,-0.19,1.15
2020-02-03,601222,4.64,4.64,4.72,4.64,262929,122264695.0,1.55,-10.08,-0.52,1.5
2020-02-04,601222,4.6,4.68,4.73,4.58,230977,107902782.0,3.23,0.86,0.04,1.32
2020-02-05,601222,4.7,4.81,4.9,4.67,214684,103294298.0,4.91,2.78,0.13,1.23
2020-02-06,601222,4.81,4.85,4.89,4.76,200946,97089361.0,2.7,0.83,0.04,1.15
2020-02-07,601222,4.84,5.03,5.05,4.8,245770,120753552.0,5.15,3.71,0.18,1.41
2020-02-10,601222,4.96,5.04,5.06,4.96,187815,94122956.0,1.99,0.2,0.01,1.07
2020-02-11,601222,5.02,4.96,5.08,4.93,168046,83984683.0,2.98,-1.59,-0.08,0.96
2020-02-12,601222,5.05,5.33,5.35,5.05,491422,257382886.0,6.05,7.46,0.37,2.81
2020-02-13,601222,5.33,5.13,5.37,5.12,389417,203402810.0,4.69,-3.75,-0.2,2.23
2020-02-14,601222,5.1,5.03,5.15,4.99,324497,163811291.0,3.12,-1.95,-0.1,1.86
2020-02-17,601222,5.05,5.2,5.2,5.04,276544,141585519.0,3.18,3.38,0.17,1.58
2020-02-18,601222,5.18,5.25,5.31,5.15,284954,149155832.0,3.08,0.96,0.05,1.63
2020-02-19,601222,5.25,5.52,5.62,5.23,730632,399300944.0,7.43,5.14,0.27,4.18
2020-02-20,601222,5.6,5.61,5.77,5.51,639469,359938912.0,4.71,1.63,0.09,3.66
2020-02-21,601222,5.55,5.73,5.85,5.51,452602,259134357.0,6.06,2.14,0.12,2.59
2020-02-24,601222,5.71,5.59,5.71,5.49,530023,296566048.0,3.84,-2.44,-0.14,3.03
2020-02-25,601222,5.42,5.45,5.52,5.27,465329,252039793.0,4.47,-2.5,-0.14,2.66
2020-02-26,601222,5.35,5.33,5.53,5.31,311855,169015084.0,4.04,-2.2,-0.12,1.78
2020-02-27,601222,5.38,5.4,5.48,5.3,264848,143272623.0,3.38,1.31,0.07,1.51
2020-02-28,601222,5.29,5.16,5.31,5.07,375435,195344404.0,4.44,-4.44,-0.24,2.15
2020-03-02,601222,5.22,5.38,5.43,5.18,236185,125594485.0,4.84,4.26,0.22,1.35
