strategy,param,param_name,top_n,bottom_n,cost_bps,n_days,ic_mean,ic_ir,ic_win_rate,long_mean,short_mean,ls_mean,ls_ann,ls_ir,ls_win_rate,avg_turnover,max_drawdown
B_hysteresis,10,delta,30,30,0.0003,714,0.03874401953992561,0.2145549864132548,0.5896358543417367,0.0006415392070638733,-0.0006523251063607109,0.0011356710361136596,0.2861891011006422,1.2459486585644788,0.5252100840336135,0.5273109243697479,-0.3014132378166551
B_hysteresis,12,delta,30,30,0.0003,714,0.03874401953992561,0.2145549864132548,0.5896358543417367,0.0006343742350106436,-0.0006029750222187234,0.0010872932348204038,0.27399789517474177,1.2002565248417782,0.5280112044817927,0.500186741363212,-0.30739590223820323
B_hysteresis,15,delta,30,30,0.0003,714,0.03874401953992561,0.2145549864132548,0.5896358543417367,0.0006358345217121091,-0.0006946725505475317,0.0011920476885061394,0.3003960175035471,1.3178980649802878,0.5378151260504201,0.46153127917833797,-0.2936538722976503
B_hysteresis,18,delta,30,30,0.0003,714,0.03874401953992561,0.2145549864132548,0.5896358543417367,0.0006461952660522229,-0.0007431331638978832,0.0012608690461966049,0.31773899964154445,1.395762084282139,0.5378151260504201,0.4281979458450047,-0.2869623536789023
B_hysteresis,20,delta,30,30,0.0003,714,0.03874401953992561,0.2145549864132548,0.5896358543417367,0.0006861968350272168,-0.0008021901158240011,0.0013655858304030388,0.34412762926156576,1.5187406751501502,0.5336134453781513,0.40933706816059756,-0.2590156226493059
B_hysteresis,10,delta,30,30,0.0005,714,0.03874401953992561,0.2145549864132548,0.5896358543417367,0.0006415392070638733,-0.0006523251063607109,0.0010302088512397106,0.25961263051240707,1.1299492701431486,0.5238095238095238,0.5273109243697479,-0.31225990448332086
B_hysteresis,12,delta,30,30,0.0005,714,0.03874401953992561,0.2145549864132548,0.5896358543417367,0.0006343742350106436,-0.0006029750222187234,0.0009872558865477615,0.2487884834100359,1.089527430180481,0.5280112044817927,0.500186741363212,-0.31772256890487005
B_hysteresis,15,delta,30,30,0.0005,714,0.03874401953992561,0.2145549864132548,0.5896358543417367,0.0006358345217121091,-0.0006946725505475317,0.001099741432670472,0.27713484103295893,1.2155524074464399,0.5350140056022409,0.46153127917833797,-0.30308720563098346
B_hysteresis,18,delta,30,30,0.0005,714,0.03874401953992561,0.2145549864132548,0.5896358543417367,0.0006461952660522229,-0.0007431331638978832,0.001175229457027604,0.2961578231709562,1.300618452628437,0.5350140056022409,0.4281979458450047,-0.2956956870122366
B_hysteresis,20,delta,30,30,0.0005,714,0.03874401953992561,0.2145549864132548,0.5896358543417367,0.0006861968350272168,-0.0008021901158240011,0.001283718416770919,0.32349704102627164,1.4272652513963202,0.530812324929972,0.40933706816059756,-0.26133562264930577
B_hysteresis,10,delta,35,35,0.0003,714,0.03874401953992561,0.2145549864132548,0.5896358543417367,0.0005918936128494242,-0.0006200052705198495,0.0010561125688434633,0.26614036734855273,1.2138959240395994,0.5294117647058824,0.5192877150860343,-0.3077883983192744
B_hysteresis,12,delta,35,35,0.0003,714,0.03874401953992561,0.2145549864132548,0.5896358543417367,0.0006497678735537481,-0.0006446560860940591,0.0011467408864185152,0.28897870337746584,1.3179842214932977,0.5266106442577031,0.4922769107643057,-0.3185549789322354
B_hysteresis,15,delta,35,35,0.0003,714,0.03874401953992561,0.2145549864132548,0.5896358543417367,0.0006799454236462966,-0.0006285753096617176,0.0011719781162611955,0.29533848529782125,1.3513140000032593,0.5322128851540616,0.455142056822729,-0.28989325547456635
B_hysteresis,18,delta,35,35,0.0003,714,0.03874401953992561,0.2145549864132548,0.5896358543417367,0.0006729538446340801,-0.0005944415676283185,0.0011413569968962525,0.2876219632178556,1.317595877565354,0.5266106442577031,0.42012805122048813,-0.2803494037910045
B_hysteresis,20,delta,35,35,0.0003,714,0.03874401953992561,0.2145549864132548,0.5896358543417367,0.00068358212243181,-0.0005503903000609796,0.0011139724224927899,0.280721050468183,1.2854946243210763,0.5350140056022409,0.4,-0.2790691456998643
B_hysteresis,10,delta,35,35,0.0005,714,0.03874401953992561,0.2145549864132548,0.5896358543417367,0.0005918936128494242,-0.0006200052705198495,0.0009522550258262563,0.2399682665082166,1.0942539973586771,0.5266106442577031,0.5192877150860343,-0.3187598268907027
B_hysteresis,12,delta,35,35,0.0005,714,0.03874401953992561,0.2145549864132548,0.5896358543417367,0.0006497678735537481,-0.0006446560860940591,0.0010482855042656543,0.2641679470749449,1.2045528721870913,0.5266106442577031,0.4922769107643057,-0.3289549789322356
B_hysteresis,15,delta,35,35,0.0005,714,0.03874401953992561,0.2145549864132548,0.5896358543417367,0.0006799454236462966,-0.0006285753096617176,0.0010809497048966494,0.27239932563395564,1.2460192242112542,0.5266106442577031,0.455142056822729,-0.2992875411888519
B_hysteresis,18,delta,35,35,0.0005,714,0.03874401953992561,0.2145549864132548,0.5896358543417367,0.0006729538446340801,-0.0005944415676283185,0.0010573313866521546,0.266447509436343,1.2202875462850176,0.5238095238095238,0.42012805122048813,-0.28894368950529015
B_hysteresis,20,delta,35,35,0.0005,714,0.03874401953992561,0.2145549864132548,0.5896358543417367,0.00068358212243181,-0.0005503903000609796,0.0010339724224927896,0.260561050468183,1.1928964753093119,0.5322128851540616,0.4,-0.28721200284272164
B_hysteresis,10,delta,40,40,0.0003,714,0.03874401953992561,0.2145549864132548,0.5896358543417367,0.0006243281227593275,-0.0005751793079443081,0.001047816254233047,0.26404969606672785,1.2407623736087214,0.5280112044817927,0.5056372549019608,-0.2972995639882493
