date,long,short,ls_gross,turnover,cost_bps,ls_net,cum_ls_net,cum_ls_gross,drawdown
2022-12-20,-0.00455927471648191,-0.00706053624175091,0.0025012615252690005,0.65,0.0005,0.0021762615252690003,0.045677383737436635,0.1294023837374366,-0.11231430000577367
2022-12-22,-0.004578601085176445,-0.013201735904375423,0.008623134819198977,0.675,0.0005,0.008285634819198978,0.053963018556635614,0.13802551855663558,-0.10402866518657468
2022-12-23,0.0068134615169137686,0.028424332381081396,-0.021610870864167627,0.525,0.0005,-0.021873370864167626,0.032089647692467985,0.11641464769246795,-0.1259020360507423
2022-12-26,0.0027436407647371845,0.0049178946673785005,-0.002174253902641316,0.525,0.0005,-0.002436753902641316,0.02965289378982667,0.11424039378982664,-0.12833878995338363
2022-12-27,-0.006554344360530087,-0.005165747473268392,-0.0013885968872616944,0.475,0.0005,-0.0016260968872616945,0.028026796902564974,0.11285179690256494,-0.12996488684064533
2022-12-28,-0.006979630399399242,0.005289101877822035,-0.012268732277221276,0.5750000000000001,0.0005,-0.012556232277221276,0.015470564625343698,0.10058306462534367,-0.1425211191178666
2022-12-29,0.008503755315531497,-0.001717395349275745,0.010221150664807242,0.4750000000000001,0.0005,0.009983650664807242,0.02545421529015094,0.11080421529015091,-0.13253746845305936
2022-12-30,0.011735000848396319,0.01947243278536564,-0.007737431936969319,0.6,0.0005,-0.00803743193696932,0.01741678335318162,0.10306678335318159,-0.14057490039002868
2023-01-03,0.002383855956286355,0.0015886150033201866,0.0007952409529661684,0.625,0.0005,0.00048274095296616844,0.01789952430614779,0.10386202430614776,-0.1400921594370625
2023-01-04,0.0010029968048806525,0.010005862692565478,-0.009002865887684825,0.725,0.0005,-0.009365365887684825,0.008534158418462966,0.09485915841846293,-0.14945752532474732
2023-01-05,-0.0029438202116718144,0.01089953880345468,-0.013843359015126493,0.825,0.0005,-0.014255859015126493,-0.005721700596663527,0.08101579940333643,-0.1637133843398738
2023-01-06,0.0012714180376007104,0.007967120634741406,-0.006695702597140696,0.8,0.0005,-0.007095702597140696,-0.012817403193804224,0.07432009680619574,-0.17080908693701452
2023-01-09,-0.0002619180339031798,-0.00012815057931596756,-0.00013376745458721221,0.875,0.0005,-0.0005712674545872123,-0.013388670648391436,0.07418632935160853,-0.17138035439160174
2023-01-10,-0.003977806725534525,-0.014724882274546335,0.01074707554901181,0.75,0.0005,0.01037207554901181,-0.0030165950993796264,0.08493340490062035,-0.16100827884258992
2023-01-11,0.00116411325708026,0.000888637854471952,0.00027547540260830787,0.825,0.0005,-0.00013702459739169213,-0.0031536196967713185,0.08520888030322865,-0.16114530343998162
2023-01-12,0.00749807435762649,0.007042581266346995,0.00045549309127949477,0.75,0.0005,8.049309127949476e-05,-0.0030731266054918236,0.08566437339450815,-0.16106481034870213
2023-01-13,0.011807435550964257,0.011137423814010807,0.0006700117369534495,0.6499999999999999,0.0005,0.00034501173695344954,-0.0027281148685383743,0.0863343851314616,-0.16071979861174868
2023-01-16,-0.004029406885546242,0.0012530940523876723,-0.005282500937933914,0.875,0.0005,-0.005720000937933915,-0.008448115806472289,0.08105188419352768,-0.16643979954968258
2023-01-17,0.001481635486226,-0.00129770837401044,0.0027793438602364403,0.8250000000000001,0.0005,0.0023668438602364402,-0.006081271946235849,0.08383122805376413,-0.16407295568944613
2023-01-18,0.00828519798343701,0.003636310608651293,0.004648887374785717,0.7749999999999999,0.0005,0.004261387374785717,-0.001819884571450132,0.08848011542854985,-0.15981156831466042
2023-01-19,0.007070919888085056,0.008456839365069507,-0.0013859194769844504,1.0,0.0005,-0.0018859194769844504,-0.0037058040484345823,0.0870941959515654,-0.16169748779164486
2023-01-20,0.007252503386099863,0.006007224125726767,0.0012452792603730957,0.85,0.0005,0.0008202792603730956,-0.0028855247880614867,0.0883394752119385,-0.16087720853127177
2023-01-30,0.001584762049762982,-0.00823319940528995,0.009817961455052931,0.95,0.0005,0.009342961455052931,0.006457436666991445,0.09815743666699142,-0.15153424707621885
2023-01-31,0.015846236191798247,0.01595541556482072,-0.00010917937302247147,0.9249999999999999,0.0005,-0.0005716793730224715,0.0058857572939689734,0.09804825729396895,-0.1521059264492413
2023-02-01,-0.0029227379923150295,-1.35033386414774e-05,-0.002909234653673552,0.85,0.0005,-0.003334234653673552,0.0025515226402954214,0.09513902264029539,-0.15544016110291486
2023-02-02,-0.0009707444701325355,-0.005807225991176429,0.004836481521043894,0.8250000000000001,0.0005,0.004423981521043894,0.006975504161339316,0.09997550416133928,-0.15101617958187097
2023-02-03,0.0033872901336771148,-0.007152335114866905,0.010539625248544019,0.725,0.0005,0.010177125248544019,0.017152629409883335,0.1105151294098833,-0.14083905433332697
2023-02-06,0.006610795022799399,0.010856793018450144,-0.0042459979956507455,0.75,0.0005,-0.004620997995650746,0.012531631414232589,0.10626913141423255,-0.1454600523289777
2023-02-07,-0.005618191769875628,-0.00624608829778483,0.0006278965279092018,0.725,0.0005,0.0002653965279092018,0.01279702794214179,0.10689702794214176,-0.1451946558010685
2023-02-08,0.0174464114095729,0.014428651329367017,0.0030177600802058814,0.75,0.0005,0.0026427600802058815,0.015439788022347672,0.10991478802234764,-0.14255189572086263
2023-02-09,0.0066553440789345174,-0.004023784350601864,0.010679128429536382,0.75,0.0005,0.010304128429536381,0.025743916451884053,0.12059391645188403,-0.13224776729132623
2023-02-10,0.01039918836872605,0.010806381397798926,-0.0004071930290728762,0.7,0.0005,-0.0007571930290728762,0.024986723422811177,0.12018672342281114,-0.1330049603203991
2023-02-13,0.0021258428323664806,-0.0033047064772801322,0.005430549309646613,0.95,0.0005,0.004955549309646613,0.02994227273245779,0.12561727273245776,-0.1280494110107525
2023-02-14,0.004598502408348007,0.002568704584667447,0.0020297978236805602,0.875,0.0005,0.0015922978236805603,0.03153457055613835,0.12764707055613833,-0.12645711318707195
2023-02-15,-0.020297749305710065,-0.02088244186712932,0.0005846925614192561,0.75,0.0005,0.00020969256141925607,0.031744263117557604,0.12823176311755757,-0.1262474206256527
