date,code,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2020-01-02,600602,8.28,8.41,8.45,8.17,141180,118152298.0,3.4,2.06,0.17,1.37
2020-01-03,600602,8.45,8.52,8.57,8.35,132907,112690151.0,2.62,1.31,0.11,1.29
2020-01-06,600602,8.48,8.57,8.67,8.4,150089,128723264.0,3.17,0.59,0.05,1.45
2020-01-07,600602,8.61,8.63,8.73,8.56,145384,125346080.0,1.98,0.7,0.06,1.41
2020-01-08,600602,8.57,8.3,8.58,8.25,150618,126606029.0,3.82,-3.82,-0.33,1.46
2020-01-09,600602,8.43,8.82,8.95,8.31,312868,272224992.0,7.71,6.27,0.52,3.03
2020-01-10,600602,8.8,8.72,8.85,8.66,149270,130386693.0,2.15,-1.13,-0.1,1.44
2020-01-13,600602,8.87,8.75,8.87,8.59,127134,110369350.0,3.21,0.34,0.03,1.23
2020-01-14,600602,8.7,8.64,8.77,8.57,123887,107143941.0,2.29,-1.26,-0.11,1.2
2020-01-15,600602,8.61,8.75,8.77,8.48,109622,94839882.0,3.36,1.27,0.11,1.06
2020-01-16,600602,8.75,8.68,8.87,8.61,120067,104677181.0,2.97,-0.8,-0.07,1.16
2020-01-17,600602,8.68,8.57,8.74,8.56,78243,67483050.0,2.07,-1.27,-0.11,0.76
2020-01-20,600602,8.7,8.88,8.89,8.58,168723,148162540.0,3.62,3.62,0.31,1.63
2020-01-21,600602,8.86,8.89,9.18,8.8,238316,213659118.0,4.28,0.11,0.01,2.31
2020-01-22,600602,8.82,9.55,9.68,8.68,363103,337542160.0,11.25,7.42,0.66,3.51
2020-01-23,600602,9.4,9.01,9.47,8.89,288378,264252566.0,6.07,-5.65,-0.54,2.79
2020-02-03,600602,8.11,8.11,8.11,8.11,16251,13179561.0,0.0,-9.99,-0.9,0.16
2020-02-04,600602,7.31,7.71,7.93,7.31,301096,230579969.0,7.64,-4.93,-0.4,2.91
2020-02-05,600602,7.73,8.16,8.41,7.73,226149,182600849.0,8.82,5.84,0.45,2.19
2020-02-06,600602,8.4,8.84,8.95,8.22,404970,350170528.0,8.95,8.33,0.68,3.92
2020-02-07,600602,8.88,8.87,9.09,8.61,331101,291845936.0,5.43,0.34,0.03,3.2
2020-02-10,600602,8.94,8.93,9.11,8.77,236024,210265936.0,3.83,0.68,0.06,2.28
2020-02-11,600602,9.01,8.69,9.09,8.58,212719,186771064.0,5.71,-2.69,-0.24,2.06
2020-02-12,600602,8.63,9.06,9.06,8.6,287691,254921420.0,5.29,4.26,0.37,2.78
2020-02-13,600602,9.04,8.85,9.15,8.7,260153,230649845.0,4.97,-2.32,-0.21,2.52
2020-02-14,600602,8.85,9.35,9.5,8.76,519278,478621856.0,8.36,5.65,0.5,5.02
2020-02-17,600602,9.46,9.53,9.55,9.23,399597,374535776.0,3.42,1.93,0.18,3.87
2020-02-18,600602,9.43,9.77,9.85,9.38,348923,336201040.0,4.93,2.52,0.24,3.38
2020-02-19,600602,9.8,9.2,9.83,9.2,385903,365827776.0,6.45,-5.83,-0.57,3.73
2020-02-20,600602,9.25,9.28,9.3,8.97,265729,243386190.0,3.59,0.87,0.08,2.57
2020-02-21,600602,9.28,9.33,9.53,9.2,292486,273878224.0,3.56,0.54,0.05,2.83
2020-02-24,600602,9.33,9.61,9.68,9.32,299307,284573824.0,3.86,3.0,0.28,2.9
2020-02-25,600602,9.22,9.29,9.34,8.85,360472,330440608.0,5.1,-3.33,-0.32,3.49
2020-02-26,600602,9.06,9.31,9.65,9.01,351921,329932992.0,6.89,0.22,0.02,3.41
2020-02-27,600602,9.25,9.13,9.35,8.95,225952,206083329.0,4.3,-1.93,-0.18,2.19
2020-02-28,600602,8.78,8.23,8.94,8.22,305807,260605224.0,7.89,-9.86,-0.9,2.96
2020-03-02,600602,8.29,8.51,8.55,8.26,141602,119207975.0,3.52,3.4,0.28,1.37
2020-03-03,600602,8.65,8.75,8.91,8.58,206642,181122452.0,3.88,2.82,0.24,2.0
2020-03-04,600602,8.8,8.7,8.94,8.54,198652,173936743.0,4.57,-0.57,-0.05,1.92
2020-03-05,600602,9.2,8.91,9.38,8.83,224536,202133748.0,6.32,2.41,0.21,2.17
2020-03-06,600602,8.75,8.91,9.1,8.73,189034,168988396.0,4.15,0.0,0.0,1.83
2020-03-09,600602,8.74,8.44,8.83,8.38,193395,166090155.0,5.05,-5.27,-0.47,1.87
2020-03-10,600602,8.35,8.7,8.71,8.1,195467,164250381.0,7.23,3.08,0.26,1.89
2020-03-11,600602,8.67,8.4,8.8,8.39,162173,139207743.0,4.71,-3.45,-0.3,1.57
2020-03-12,600602,8.25,8.22,8.4,8.15,111059,91713818.0,2.98,-2.14,-0.18,1.07
2020-03-13,600602,7.84,8.04,8.16,7.7,140837,111742529.0,5.6,-2.19,-0.18,1.36
2020-03-16,600602,8.13,7.65,8.28,7.57,141495,111741671.0,8.83,-4.85,-0.39,1.37
2020-03-17,600602,7.74,7.64,7.82,7.27,120577,91161572.0,7.19,-0.13,-0.01,1.17
2020-03-18,600602,7.75,7.49,7.9,7.49,116166,89400786.0,5.37,-1.96,-0.15,1.12
2020-03-19,600602,7.53,7.57,7.62,7.34,95124,71338175.0,3.74,1.07,0.08,0.92
2020-03-20,600602,7.66,7.61,7.71,7.53,77938,59360515.0,2.38,0.53,0.04,0.75
2020-03-23,600602,7.43,7.28,7.55,7.22,83313,61487025.0,4.34,-4.34,-0.33,0.81
2020-03-24,600602,7.43,7.46,7.6,7.32,117550,87704486.0,3.85,2.47,0.18,1.14
2020-03-25,600602,7.63,7.56,7.68,7.5,105636,80109856.0,2.41,1.34,0.1,1.02
2020-03-26,600602,7.47,7.41,7.52,7.38,73555,54776015.0,1.85,-1.98,-0.15,0.71
2020-03-27,600602,7.52,7.37,7.53,7.34,58504,43399364.0,2.56,-0.54,-0.04,0.57
2020-03-30,600602,7.28,7.12,7.28,7.09,75770,54181922.0,2.58,-3.39,-0.25,0.73
2020-03-31,600602,7.23,7.15,7.27,7.12,51446,36953963.0,2.11,0.42,0.03,0.5
2020-04-01,600602,7.11,7.09,7.22,7.04,55160,39341023.0,2.52,-0.84,-0.06,0.53
2020-04-02,600602,7.06,7.26,7.26,7.02,69255,49587648.0,3.39,2.4,0.17,0.67
2020-04-03,600602,7.22,7.09,7.27,7.07,63952,45684603.0,2.75,-2.34,-0.17,0.62
2020-04-07,600602,7.21,7.34,7.34,7.21,86207,62798061.0,1.83,3.53,0.25,0.83
2020-04-08,600602,7.3,7.36,7.43,7.24,76208,56102822.0,2.59,0.27,0.02,0.74
2020-04-09,600602,7.45,7.45,7.5,7.38,75462,56122120.0,1.63,1.22,0.09,0.73
2020-04-10,600602,7.49,7.34,7.5,7.28,79962,58936200.0,2.95,-1.48,-0.11,0.77
2020-04-13,600602,7.27,7.2,7.32,7.16,58510,42219148.0,2.18,-1.91,-0.14,0.57
2020-04-14,600602,7.25,7.33,7.33,7.23,54235,39473185.0,1.39,1.81,0.13,0.52
2020-04-15,600602,7.34,7.24,7.38,7.23,51927,37984341.0,2.05,-1.23,-0.09,0.5
2020-04-16,600602,7.22,7.28,7.28,7.16,47453,34280994.0,1.66,0.55,0.04,0.46
2020-04-17,600602,7.34,7.27,7.49,7.24,100016,73685610.0,3.43,-0.14,-0.01,0.97
2020-04-20,600602,7.22,7.42,7.44,7.18,92395,67600325.0,3.58,2.06,0.15,0.89
2020-04-21,600602,7.38,7.65,7.71,7.32,203025,153797674.0,5.26,3.1,0.23,1.96
2020-04-22,600602,7.53,7.6,7.62,7.44,107206,81005133.0,2.35,-0.65,-0.05,1.04
2020-04-23,600602,7.61,7.47,7.61,7.46,73809,55473247.0,1.97,-1.71,-0.13,0.71
2020-04-24,600602,7.46,7.25,7.52,7.23,76947,56457603.0,3.88,-2.95,-0.22,0.74
2020-04-27,600602,7.3,7.13,7.3,7.12,62247,44694301.0,2.48,-1.66,-0.12,0.6
2020-04-28,600602,7.13,7.06,7.21,6.89,91329,64293566.0,4.49,-0.98,-0.07,0.88
2020-04-29,600602,7.03,6.94,7.08,6.92,72449,50699809.0,2.27,-1.7,-0.12,0.7
2020-04-30,600602,6.99,7.16,7.19,6.98,103352,73340990.0,3.03,3.17,0.22,1.0
2020-05-06,600602,7.09,7.3,7.3,7.08,80746,58303063.0,3.07,1.96,0.14,0.78
2020-05-07,600602,7.28,7.2,7.31,7.17,59549,43018353.0,1.92,-1.37,-0.1,0.58
2020-05-08,600602,7.24,7.32,7.49,7.24,119188,87877069.0,3.47,1.67,0.12,1.15
2020-05-11,600602,7.39,7.36,7.46,7.31,74676,55131653.0,2.05,0.55,0.04,0.72
2020-05-12,600602,7.36,7.2,7.37,7.11,72788,52512451.0,3.53,-2.17,-0.16,0.7
2020-05-13,600602,7.2,7.45,7.59,7.06,176484,129434799.0,7.36,3.47,0.25,1.71
2020-05-14,600602,7.35,7.28,7.41,7.23,104610,76319134.0,2.42,-2.28,-0.17,1.01
2020-05-15,600602,7.75,8.01,8.01,7.6,215514,168937427.0,5.63,10.03,0.73,2.09
2020-05-18,600602,8.19,7.79,8.27,7.68,395900,317407776.0,7.37,-2.75,-0.22,3.83
2020-05-19,600602,7.75,7.86,7.93,7.65,199040,154825490.0,3.59,0.9,0.07,1.93
2020-05-20,600602,7.75,7.78,8.03,7.73,155724,122612037.0,3.82,-1.02,-0.08,1.51
2020-05-21,600602,7.71,7.51,7.84,7.46,154205,117279731.0,4.88,-3.47,-0.27,1.49
2020-05-22,600602,7.52,7.3,7.63,7.26,118931,88216049.0,4.93,-2.8,-0.21,1.15
2020-05-25,600602,7.33,7.24,7.34,7.15,74295,53589603.0,2.6,-0.82,-0.06,0.72
2020-05-26,600602,7.27,7.38,7.4,7.23,70325,51615127.0,2.35,1.93,0.14,0.68
2020-05-27,600602,7.35,7.23,7.42,7.18,82715,60068283.0,3.25,-2.03,-0.15,0.8
2020-05-28,600602,7.2,7.23,7.28,7.08,70468,50567069.0,2.77,0.0,0.0,0.68
2020-05-29,600602,7.2,7.34,7.42,7.17,88193,64776379.0,3.46,1.52,0.11,0.85
2020-06-01,600602,7.37,7.48,7.54,7.34,108248,80800730.0,2.72,1.91,0.14,1.05
2020-06-02,600602,7.5,7.49,7.55,7.39,85158,63631931.0,2.14,0.13,0.01,0.82
2020-06-03,600602,7.5,7.44,7.53,7.41,90344,67496369.0,1.6,-0.67,-0.05,0.87
2020-06-04,600602,7.45,7.35,7.49,7.32,67723,49924693.0,2.28,-1.21,-0.09,0.66
2020-06-05,600602,7.37,7.47,7.47,7.3,57565,42534964.0,2.31,1.63,0.12,0.56
